"Periodo","Propensión_marginal_a_consumir_(ConsPr/PIB)",
"2020","0.637466702749533",
"2018","0.646687228983888",
"2016","0.683627828761823",
"2014","0.679290178776617",
"2012","0.67255898187788",
"2010","0.670070950130977",
"2008","0.668917859823537",
"2006","0.661930495697067",
"2005","0.676375844795035",
"2004","0.671854948009985",
"2002","0.726406619985155",
"2000","0.708153514291433",
"1998","0.689095834927991",
"1996","0.671827969852847",
"1994","0.65541617664627",
"1992","0.698518143862115",
