"Periodo","cvegeo","Entidad_federativa","Población_total",
"2020",	00,"Estados Unidos Mexicanos","NA",
"2020",	01,"Aguascalientes","NA",
"2020",	01001,"Aguascalientes","922.268",
"2020",	01002,"Asientos","48.635",
"2020",	01003,"Calvillo","52.377",
"2020",	01004,"Cosío","15.942",
"2020",	01005,"Jesús María","127.962",
"2020",	01006,"Pabellón de Arteaga","45.1",
"2020",	01007,"Rincón de Romos","53.844",
"2020",	01008,"San José de Gracia","9.201",
"2020",	01009,"Tepezalá","20.898",
"2020",	01010,"El Llano","20.182",
"2020",	01011,"San Francisco de los Romo","56.833",
"2020",	02,"Baja California","NA",
"2020",	02001,"Ensenada","442.249",
"2020",	02002,"Mexicali","1,029.786",
"2020",	02003,"Tecate","108.846",
"2020",	02004,"Tijuana","1,913.345",
"2020",	02005,"Playas de Rosarito","130.62",
"2020",	02006,"San Quintín","117.619",
"2020",	03,"Baja California Sur","NA",
"2020",	03001,"Comondú","78.325",
"2020",	03002,"Mulegé","69.902",
"2020",	03003,"La Paz","326.35",
"2020",	03008,"Los Cabos","391.603",
"2020",	03009,"Loreto","19.285",
"2020",	04,"Campeche","NA",
"2020",	04001,"Calkiní","65.892",
"2020",	04002,"Campeche","306.177",
"2020",	04003,"Carmen","254.143",
"2020",	04004,"Champotón","82.962",
"2020",	04005,"Hecelchakán","37.545",
"2020",	04006,"Hopelchén","49.773",
"2020",	04007,"Palizada","9.308",
"2020",	04008,"Tenabo","12.092",
"2020",	04009,"Escárcega","65.161",
"2020",	04010,"Calakmul","40.375",
"2020",	04011,"Candelaria","55.369",
"2020",	04012,"Seybaplaya","0",
"2020",	04013,"Dzitbalché","NA",
"2020",	05,"Coahuila de Zaragoza","NA",
"2020",	05001,"Abasolo","1.019",
"2020",	05002,"Acuña","163.931",
"2020",	05003,"Allende","22.759",
"2020",	05004,"Arteaga","33.786",
"2020",	05005,"Candela","1.639",
"2020",	05006,"Castaños","28.442",
"2020",	05007,"Cuatro Ciénegas","12.788",
"2020",	05008,"Escobedo","3.039",
"2020",	05009,"Francisco I. Madero","62.475",
"2020",	05010,"Frontera","78.071",
"2020",	05011,"General Cepeda","11.395",
"2020",	05012,"Guerrero","1.639",
"2020",	05013,"Hidalgo","1.731",
"2020",	05014,"Jiménez","9.479",
"2020",	05015,"Juárez","1.58",
"2020",	05016,"Lamadrid","1.76",
"2020",	05017,"Matamoros","122.631",
"2020",	05018,"Monclova","237.448",
"2020",	05019,"Morelos","7.908",
"2020",	05020,"Múzquiz","69.412",
"2020",	05021,"Nadadores","6.523",
"2020",	05022,"Nava","31.46",
"2020",	05023,"Ocampo","9.618",
"2020",	05024,"Parras","43.653",
"2020",	05025,"Piedras Negras","179.135",
"2020",	05026,"Progreso","3.231",
"2020",	05027,"Ramos Arizpe","121.756",
"2020",	05028,"Sabinas","61.536",
"2020",	05029,"Sacramento","2.465",
"2020",	05030,"Saltillo","872.289",
"2020",	05031,"San Buenaventura","24.186",
"2020",	05032,"San Juan de Sabinas","38.205",
"2020",	05033,"San Pedro","104.84",
"2020",	05034,"Sierra Mojada","6.727",
"2020",	05035,"Torreón","720.266",
"2020",	05036,"Viesca","20.922",
"2020",	05037,"Villa Unión","6.173",
"2020",	05038,"Zaragoza","13.086",
"2020",	06,"Colima","NA",
"2020",	06001,"Armería","28.386",
"2020",	06002,"Colima","169.235",
"2020",	06003,"Comala","23.789",
"2020",	06004,"Coquimatlán","22.951",
"2020",	06005,"Cuauhtémoc","33.174",
"2020",	06006,"Ixtlahuacán","6.043",
"2020",	06007,"Manzanillo","205.131",
"2020",	06008,"Minatitlán","11.499",
"2020",	06009,"Tecomán","122.679",
"2020",	06010,"Villa de Álvarez","163.129",
"2020",	07,"Chiapas","NA",
"2020",	07001,"Acacoyagua","20.744",
"2020",	07002,"Acala","17.543",
"2020",	07003,"Acapetahua","30.494",
"2020",	07004,"Altamirano","35.184",
"2020",	07005,"Amatán","26.413",
"2020",	07006,"Amatenango de la Frontera","32.876",
"2020",	07007,"Amatenango del Valle","11.394",
"2020",	07008,"Angel Albino Corzo","30.292",
"2020",	07009,"Arriaga","44.306",
"2020",	07010,"Bejucal de Ocampo","7.437",
"2020",	07011,"Bella Vista","19.652",
"2020",	07012,"Berriozábal","68.901",
"2020",	07013,"Bochil","35.167",
"2020",	07014,"El Bosque","24.512",
"2020",	07015,"Cacahoatán","51.214",
"2020",	07016,"Catazajá","22.056",
"2020",	07017,"Cintalapa","88.215",
"2020",	07018,"Coapilla","9.997",
"2020",	07019,"Comitán de Domínguez","168.305",
"2020",	07020,"La Concordia","52.035",
"2020",	07021,"Copainalá","22.344",
"2020",	07022,"Chalchihuitán","22.131",
"2020",	07023,"Chamula","102.97",
"2020",	07024,"Chanal","13.813",
"2020",	07025,"Chapultenango","7.546",
"2020",	07026,"Chenalhó","47.837",
"2020",	07027,"Chiapa de Corzo","107.948",
"2020",	07028,"Chiapilla","6.217",
"2020",	07029,"Chicoasén","5.455",
"2020",	07030,"Chicomuselo","37.208",
"2020",	07031,"Chilón","135.413",
"2020",	07032,"Escuintla","31.274",
"2020",	07033,"Francisco León","7.316",
"2020",	07034,"Frontera Comalapa","88.106",
"2020",	07035,"Frontera Hidalgo","15.779",
"2020",	07036,"La Grandeza","7.777",
"2020",	07037,"Huehuetán","43.293",
"2020",	07038,"Huixtán","22.207",
"2020",	07039,"Huitiupán","27.143",
"2020",	07040,"Huixtla","58.546",
"2020",	07041,"La Independencia","48.65",
"2020",	07042,"Ixhuatán","11.325",
"2020",	07043,"Ixtacomitán","12.66",
"2020",	07044,"Ixtapa","28.213",
"2020",	07045,"Ixtapangajoya","6.346",
"2020",	07046,"Jiquipilas","45.508",
"2020",	07047,"Jitotol","28.162",
"2020",	07048,"Juárez","26.84",
"2020",	07049,"Larráinzar","31.567",
"2020",	07050,"La Libertad","5.283",
"2020",	07051,"Mapastepec","52.678",
"2020",	07052,"Las Margaritas","127.085",
"2020",	07053,"Mazapa de Madero","7.979",
"2020",	07054,"Mazatán","31.641",
"2020",	07055,"Metapa","5.934",
"2020",	07056,"Mitontic","13.89",
"2020",	07057,"Motozintla","64.118",
"2020",	07058,"Nicolás Ruíz","4.812",
"2020",	07059,"Ocosingo","226.19",
"2020",	07060,"Ocotepec","14.227",
"2020",	07061,"Ocozocoautla de Espinosa","96.583",
"2020",	07062,"Ostuacán","22.959",
"2020",	07063,"Osumacinta","4.022",
"2020",	07064,"Oxchuc","55.473",
"2020",	07065,"Palenque","141.634",
"2020",	07066,"Pantelhó","26.651",
"2020",	07067,"Pantepec","12.071",
"2020",	07068,"Pichucalco","35.523",
"2020",	07069,"Pijijiapan","57.796",
"2020",	07070,"El Porvenir","9.59",
"2020",	07071,"Villa Comaltitlán","38.577",
"2020",	07072,"Pueblo Nuevo Solistahuacán","26.573",
"2020",	07073,"Rayón","10.471",
"2020",	07074,"Reforma","46.785",
"2020",	07075,"Las Rosas","28.185",
"2020",	07076,"Sabanilla","32.151",
"2020",	07077,"Salto de Agua","66.983",
"2020",	07078,"San Cristóbal de las Casas","208.888",
"2020",	07079,"San Fernando","42.802",
"2020",	07080,"Siltepec","18.455",
"2020",	07081,"Simojovel","51.759",
"2020",	07082,"Sitalá","15.671",
"2020",	07083,"Socoltenango","20.042",
"2020",	07084,"Solosuchiapa","8.645",
"2020",	07085,"Soyaló","9.626",
"2020",	07086,"Suchiapa","25.932",
"2020",	07087,"Suchiate","41.99",
"2020",	07088,"Sunuapa","2.331",
"2020",	07089,"Tapachula","361.784",
"2020",	07090,"Tapalapa","4.592",
"2020",	07091,"Tapilula","13.807",
"2020",	07092,"Tecpatán","23.836",
"2020",	07093,"Tenejapa","48.636",
"2020",	07094,"Teopisca","42.484",
"2020",	07096,"Tila","75.471",
"2020",	07097,"Tonalá","95.427",
"2020",	07098,"Totolapa","7.282",
"2020",	07099,"La Trinitaria","91.465",
"2020",	07100,"Tumbalá","38.399",
"2020",	07101,"Tuxtla Gutiérrez","584.797",
"2020",	07102,"Tuxtla Chico","48.428",
"2020",	07103,"Tuzantán","33.853",
"2020",	07104,"Tzimol","17.991",
"2020",	07105,"Unión Juárez","16.313",
"2020",	07106,"Venustiano Carranza","66.412",
"2020",	07107,"Villa Corzo","66.434",
"2020",	07108,"Villaflores","114.882",
"2020",	07109,"Yajalón","37.226",
"2020",	07110,"San Lucas","7.6",
"2020",	07111,"Zinacantán","45.819",
"2020",	07112,"San Juan Cancuc","38.321",
"2020",	07113,"Aldama","8.563",
"2020",	07114,"Benemérito de las Américas","25.505",
"2020",	07115,"Maravilla Tenejapa","14.859",
"2020",	07116,"Marqués de Comillas","13.168",
"2020",	07117,"Montecristo de Guerrero","8.495",
"2020",	07118,"San Andrés Duraznal","6.107",
"2020",	07119,"Santiago el Pinar","5.008",
"2020",	07120,"Capitán Luis Ángel Vidal","4.357",
"2020",	07121,"Rincón Chamula San Pedro","8.804",
"2020",	07122,"El Parral","15.267",
"2020",	07123,"Emiliano Zapata","11.71",
"2020",	07124,"Mezcalapa","25.177",
"2020",	07125,"Honduras de la Sierra","0",
"2020",	08,"Chihuahua","NA",
"2020",	08001,"Ahumada","14.48",
"2020",	08002,"Aldama","25.835",
"2020",	08003,"Allende","8.828",
"2020",	08004,"Aquiles Serdán","25.11",
"2020",	08005,"Ascensión","28.359",
"2020",	08006,"Bachíniva","6.04",
"2020",	08007,"Balleza","17.1",
"2020",	08008,"Batopilas","11.723",
"2020",	08009,"Bocoyna","23.567",
"2020",	08010,"Buenaventura","25.84",
"2020",	08011,"Camargo","49.83",
"2020",	08012,"Carichí","8.439",
"2020",	08013,"Casas Grandes","12.738",
"2020",	08014,"Coronado","2.116",
"2020",	08015,"Coyame del Sotol","1.279",
"2020",	08016,"La Cruz","3.853",
"2020",	08017,"Cuauhtémoc","181.023",
"2020",	08018,"Cusihuiriachi","5.304",
"2020",	08019,"Chihuahua","967.161",
"2020",	08020,"Chínipas","6.472",
"2020",	08021,"Delicias","157.29",
"2020",	08022,"Dr. Belisario Domínguez","2.555",
"2020",	08023,"Galeana","6.923",
"2020",	08024,"Santa Isabel","3.943",
"2020",	08025,"Gómez Farías","7.305",
"2020",	08026,"Gran Morelos","2.546",
"2020",	08027,"Guachochi","49.917",
"2020",	08028,"Guadalupe","4.407",
"2020",	08029,"Guadalupe y Calvo","48.121",
"2020",	08030,"Guazapares","8.525",
"2020",	08031,"Guerrero","35.47",
"2020",	08032,"Hidalgo del Parral","121.68",
"2020",	08033,"Huejotitán","0.857",
"2020",	08034,"Ignacio Zaragoza","5.405",
"2020",	08035,"Janos","10.732",
"2020",	08036,"Jiménez","42.674",
"2020",	08037,"Juárez","1,600.083",
"2020",	08038,"Julimes","5.18",
"2020",	08039,"López","4.288",
"2020",	08040,"Madera","25.738",
"2020",	08041,"Maguarichi","1.354",
"2020",	08042,"Manuel Benavides","1.225",
"2020",	08043,"Matachí","2.852",
"2020",	08044,"Matamoros","4.487",
"2020",	08045,"Meoqui","47.054",
"2020",	08046,"Morelos","7.558",
"2020",	08047,"Moris","4.626",
"2020",	08048,"Namiquipa","22.63",
"2020",	08049,"Nonoava","2.868",
"2020",	08050,"Nuevo Casas Grandes","70.947",
"2020",	08051,"Ocampo","8.453",
