"Periodo","Personas_afectadas_por_la_ocurrencia_de_desastres",
"2024","796,398",
"2023","1,243,037",
"2022","262,869",
"2021","356,053",
"2020","1,752,587",
"2019","4,469,384",
"2018","1,047,376",
"2017","19,909,363",
"2016","5,465,176",
"2015","2,859,484",
"2014","1,412,032",
"2013","3,169,187",
"2012","1,026,404",
"2011","1,774,992",
"2010","1,990,997",
"2009","556,412",
"2008","1,501,987",
"2007","3,059,592",
"2006","546,537",
"2005","826,253.8",
"2004","121,299",
"2003","1,178,324",
"2002","7,379,768",
"2001","171,181",
"2000","50,455",
