"Periodo","Número_de_personas_muertas,_desaparecidas_y_afectadas_directamente_atribuido_a_desastres_por_cada_100_000_habitantes",
"2024","602.558698879457",
"2023","947.968134329999",
"2022","202.40419587245",
"2021","276.531112085932",
"2020","1,371.74633529914",
"2019","3,531.42798283467",
"2018","840.37198074963",
"2017","16,051.2084616501",
"2016","4,470.03822791218",
"2015","2,363.50458866236",
"2014","1,179.91746853219",
"2013","2,677.33228474538",
"2012","877.397778911135",
"2011","1,534.72768725286",
"2010","1,743.05047326257",
"2009","493.58191979176",
"2008","1,349.982297687",
"2007","2,787.30376571123",
"2006","504.797455284707",
"2005","771.594959565991",
"2004","114.802452807471",
"2003","1,125.71545743874",
"2002","7,136.30218755848",
"2001","167.893798313091",
"2000","50.076410010719",
