"Periodo","Gasto_ejercido_correspondiente_a_las_funciones_de_salud,_educación_y_protección_social",
"2020","2,562,647.30677676",
"2019","2,380,455.87317972",
"2018","2,168,901.3982507",
"2017","2,041,101.1",
"2016","1,948,152.46660964",
"2015","1,868,395.80363826",
"2014","1,738,565.14885764",
"2013","1,590,595.29452901",
"2012","1,509,830.83822799",
"2011","1,405,609.317859",
"2010","1,263,514.211616",
"2009","1,155,452.21470075",
"2008","1,346,817.22996856",
"2007","951,283.148514949",
"2006","842,973.198166037",
