"Periodo","Remuneración_de_asalariados",
"2024","9,985,993.265",
"2023","9,107,662.651",
"2022","8,142,427.086",
"2021","7,245,298.705",
"2020","6,566,367.71",
"2019","6,357,467.343",
"2018","5,974,564.145",
"2017","5,549,476.137",
"2016","5,211,606.937",
"2015","4,955,651.389",
"2014","4,685,834.005",
"2013","4,437,321.545",
"2012","4,195,998.972",
"2011","3,882,555.484",
"2010","3,615,753.178",
"2009","3,415,611.715",
"2008","3,324,876.608",
"2007","3,078,944.83",
"2006","2,869,048.818",
"2005","2,641,256.767",
"2004","2,455,846.547",
"2003","2,287,333.906",
