"Periodo","Producto_Interno_Bruto_trimestral_anualizado,_a_precios_corrientes,_base_2018",
"2024","33,506,846.911",
"2023","31,866,425.547",
"2022","29,525,508.624",
"2021","26,690,033.392",
"2020","24,086,758.133",
"2019","25,121,823.305",
"2018","24,176,670.374",
"2017","22,536,210.256",
"2016","20,758,790.506",
"2015","19,228,614.674",
"2014","18,137,650.611",
"2013","16,954,005.68",
"2012","16,529,124.025",
"2011","15,268,436.667",
"2010","13,968,149.524",
"2009","12,749,117.922",
"2008","12,927,761.287",
"2007","12,046,753.157",
"2006","11,120,115.77",
"2005","9,999,598.962",
"2004","9,248,389.798",
"2003","8,259,533.147",
