"Periodo","Proporción_laboral_del_PIB_que_comprende_los_salarios_y_las_transferencias_de_protección_social",
"2024","29.80284385",
"2023","28.5807475882949",
"2022","27.577601421509",
"2021","27.146083328512",
"2020","27.2613179147748",
"2019","25.306552258628",
"2018","24.7121049035154",
"2017","24.6247087418903",
"2016","25.105542326725",
"2015","25.7722746699001",
"2014","25.834845457648",
"2013","26.1727029514597",
"2012","25.3854890655647",
"2011","25.4286379717673",
"2010","25.8856992602165",
"2009","26.7909649584932",
"2008","25.7188892507124",
"2007","25.5582959978799",
"2006","25.800530114445",
"2005","26.4136269568128",
"2004","26.5543148660439",
"2003","27.6932589928621",
