"Serie","cvegeo","Entidad_federativa","Periodo","Deciles|Total","Deciles|I","Deciles|II","Deciles|III","Deciles|IV","Deciles|V","Deciles|VI","Deciles|VII","Deciles|VIII","Deciles|IX","Deciles|X",
"Ingreso_corriente_total_trimestral_sin_transferencias",	00,"Estados_Unidos_Mexicanos","2024","2,487,638,405","20,227,406","57,860,210","97,582,884","131,923,611","167,607,363","206,823,636","252,985,126","315,628,182","419,223,511","817,776,475",
"Ingreso_corriente_total_trimestral_sin_transferencias",	01,"Aguascalientes","2024","31,938,653","252,341","858,453","1,390,143","1,857,467","2,328,062","2,858,255","3,374,534","4,152,123","5,325,873","9,541,402",
"Ingreso_corriente_total_trimestral_sin_transferencias",	02,"Baja_California","2024","105,597,828","1,255,197","3,620,773","5,340,908","6,669,747","8,044,239","9,399,388","11,046,854","13,281,845","17,088,371","29,850,505",
"Ingreso_corriente_total_trimestral_sin_transferencias",	03,"Baja_California_Sur","2024","25,584,570","334,438","871,435","1,270,438","1,610,028","1,938,274","2,312,807","2,768,270","3,361,486","4,217,318","6,900,076",
"Ingreso_corriente_total_trimestral_sin_transferencias",	04,"Campeche","2024","14,859,341","157,843","375,879","613,695","810,595","1,008,883","1,252,990","1,500,654","1,874,176","2,531,702","4,732,924",
"Ingreso_corriente_total_trimestral_sin_transferencias",	05,"Coahuila_de_Zaragoza","2024","75,170,736","651,511","2,054,624","3,401,204","4,483,137","5,546,842","6,770,943","8,087,353","9,898,163","12,687,658","21,589,302",
"Ingreso_corriente_total_trimestral_sin_transferencias",	06,"Colima","2024","17,012,439","145,101","429,968","732,260","965,214","1,207,124","1,473,966","1,781,611","2,222,996","2,864,309","5,189,891",
"Ingreso_corriente_total_trimestral_sin_transferencias",	07,"Chiapas","2024","51,379,384","537,436","1,258,944","2,010,886","2,716,831","3,454,588","4,351,962","5,472,997","6,741,546","8,778,788","16,055,408",
"Ingreso_corriente_total_trimestral_sin_transferencias",	08,"Chihuahua","2024","96,255,084","816,295","2,373,495","4,194,920","5,598,573","6,899,515","8,268,107","9,995,967","12,288,716","15,916,390","29,903,106",
"Ingreso_corriente_total_trimestral_sin_transferencias",	09,"Ciudad_de_México","2024","280,245,136","3,306,436","7,819,872","11,389,282","14,685,340","17,925,093","22,205,203","27,613,667","35,548,064","46,748,331","93,003,848",
"Ingreso_corriente_total_trimestral_sin_transferencias",	10,"Durango","2024","30,081,391","229,552","651,597","1,209,478","1,676,933","2,164,251","2,710,826","3,333,596","4,057,220","5,171,499","8,876,437",
"Ingreso_corriente_total_trimestral_sin_transferencias",	11,"Guanajuato","2024","107,206,570","868,037","2,729,024","4,832,256","6,332,814","7,663,654","9,319,878","11,281,351","13,762,412","18,036,937","32,380,207",
"Ingreso_corriente_total_trimestral_sin_transferencias",	12,"Guerrero","2024","37,434,659","287,129","655,163","1,134,787","1,667,744","2,313,419","2,985,550","3,904,403","5,094,827","6,737,716","12,653,920",
"Ingreso_corriente_total_trimestral_sin_transferencias",	13,"Hidalgo","2024","44,848,945","355,531","912,314","1,626,735","2,420,012","3,119,366","3,873,481","4,785,248","5,947,320","7,806,554","14,002,386",
"Ingreso_corriente_total_trimestral_sin_transferencias",	14,"Jalisco","2024","195,501,219","2,017,520","6,247,860","9,270,608","11,839,315","14,499,166","17,041,737","20,384,138","25,429,512","31,805,541","56,965,822",
"Ingreso_corriente_total_trimestral_sin_transferencias",	15,"México","2024","312,987,706","3,797,545","10,030,416","14,922,514","18,859,304","22,709,445","27,234,181","32,282,737","38,659,377","50,527,448","93,964,738",
"Ingreso_corriente_total_trimestral_sin_transferencias",	16,"Michoacán_de_Ocampo","2024","81,473,815","612,572","1,840,740","3,453,713","4,612,816","5,617,370","6,831,961","8,085,847","9,882,569","12,958,455","27,577,771",
"Ingreso_corriente_total_trimestral_sin_transferencias",	17,"Morelos","2024","30,739,744","301,245","767,812","1,314,396","1,743,589","2,204,782","2,645,919","3,194,600","3,947,526","5,095,285","9,524,591",
"Ingreso_corriente_total_trimestral_sin_transferencias",	18,"Nayarit","2024","22,689,371","198,326","543,663","961,542","1,287,134","1,642,310","2,005,732","2,450,805","3,003,320","3,815,900","6,780,639",
"Ingreso_corriente_total_trimestral_sin_transferencias",	19,"Nuevo_León","2024","188,091,698","1,919,188","5,246,498","7,822,149","9,956,324","12,009,425","14,395,261","17,265,705","20,849,158","27,213,023","71,414,968",
"Ingreso_corriente_total_trimestral_sin_transferencias",	20,"Oaxaca","2024","49,032,132","382,337","892,568","1,498,972","2,225,078","3,092,652","3,985,884","5,161,251","6,643,804","8,958,451","16,191,134",
