"Periodo","cvegeo","Entidad_federativa","Índice_de_Gini_sin_transferencias",
"2024",	00,"Estados Unidos Mexicanos","0.450230708722698",
"2024",	01,"Aguascalientes","0.418805015695226",
"2024",	02,"Baja California","0.384303607574507",
"2024",	03,"Baja California Sur","0.378397421973048",
"2024",	04,"Campeche","0.436612481860625",
"2024",	05,"Coahuila de Zaragoza","0.408924088076609",
"2024",	06,"Colima","0.426805859461041",
"2024",	07,"Chiapas","0.438149889383036",
"2024",	08,"Chihuahua","0.42762004907219",
"2024",	09,"Ciudad de México","0.443766820448695",
"2024",	10,"Durango","0.429545873397721",
"2024",	11,"Guanajuato","0.421536528690246",
"2024",	12,"Guerrero","0.483667187916487",
"2024",	13,"Hidalgo","0.447124102849081",
"2024",	14,"Jalisco","0.40020683161324",
"2024",	15,"México","0.402079233292076",
"2024",	16,"Michoacán de Ocampo","0.447117591030722",
"2024",	17,"Morelos","0.427009671787589",
"2024",	18,"Nayarit","0.424009985391407",
"2024",	19,"Nuevo León","0.461833326447157",
"2024",	20,"Oaxaca","0.477577176851063",
"2024",	21,"Puebla","0.427588579903733",
"2024",	22,"Querétaro","0.418227221687686",
"2024",	23,"Quintana Roo","0.375628882727523",
"2024",	24,"San Luis Potosí","0.473894002483709",
"2024",	25,"Sinaloa","0.424270086500364",
"2024",	26,"Sonora","0.436979375869698",
"2024",	27,"Tabasco","0.450310928114156",
"2024",	28,"Tamaulipas","0.418669719925697",
"2024",	29,"Tlaxcala","0.408626385242594",
"2024",	30,"Veracruz de Ignacio de la Llave","0.447876575709392",
"2024",	31,"Yucatán","0.435463577764615",
"2024",	32,"Zacatecas","0.466851606779",
"2022",	00,"Estados Unidos Mexicanos","0.459798233673363",
"2022",	01,"Aguascalientes","0.460324117174706",
"2022",	02,"Baja California","0.398852718679055",
"2022",	03,"Baja California Sur","0.414514162839843",
"2022",	04,"Campeche","0.465833082102671",
"2022",	05,"Coahuila de Zaragoza","0.423751667220591",
