"Periodo","Gasto_en_protección_ambiental_público",
"2021","109,115,412,000",
"2020","101,590,477,000",
"2019","108,007,686,000",
"2018","126,176,054,000",
"2017","128,542,550,000",
"2016","133,072,883,000",
"2015","116,799,189,000",
"2014","122,348,844,000",
"2013","117,228,376,000",
"2012","126,029,298,000",
"2011","129,630,950,000",
"2010","107,999,509,000",
"2009","98,531,077,000",
"2008","90,809,742,000",
"2007","76,017,928,000",
"2006","61,383,187,000",
"2005","52,973,491,000",
"2004","43,620,489,000",
"2003","40,009,509,000",
