"Periodo","Total_de_gasto_público_per_cápita_en_la_protección_ambiental",
"2021","846.0366637",
"2020","794.9656445",
"2019","853.2916436",
"2018","1,006.768307",
"2017","1,036.284716",
"2016","1,084.404548",
"2015","962.5159171",
"2014","1,020.114267",
"2013","989.6537581",
"2012","1,077.766074",
"2011","1,123.635373",
"2010","949.457326",
"2009","878.9931393",
"2008","822.511377",
"2007","699.0485664",
"2006","572.8427327",
"2005","501.3135926",
"2004","418.3318941",
"2003","388.8553279",
