"Periodo","Población_total",
"2022","130,118,350",
"2021","128,969,575",
"2020","127,792,286",
"2019","126,577,691",
"2018","124,692,044",
"2017","124,042,000",
"2016","122,273,473",
"2015","121,005,815",
"2014","119,713,203",
"2013","118,395,054",
"2012","117,053,750",
"2011","115,682,868",
"2010","114,255,555",
"2009","112,852,594",
"2008","111,299,015",
"2007","109,787,388",
"2006","108,408,827",
"2005","107,151,011",
"2004","105,951,569",
"2003","104,719,891",
"2002","103,417,944",
"2001","102,122,295",
"2000","100,895,811",
