"Periodo","cvegeo","Entidad_federativa","Área_total_urbana_en_km2",
"2020",	00,"Estados Unidos Mexicanos","32,003,587.068",
"2020",	01,"Aguascalientes","216,960.704",
"2020",	02,"Baja California","771,497.773",
"2020",	03,"Baja California Sur","248,014.249",
"2020",	04,"Campeche","346,583.288",
"2020",	05,"Coahuila de Zaragoza","872,493.068",
"2020",	06,"Colima","166,883.444",
"2020",	07,"Chiapas","1,481,676.518",
"2020",	08,"Chihuahua","1,202,878.385",
"2020",	09,"Ciudad de México","634,990.85",
"2020",	10,"Durango","430,098.244",
"2020",	11,"Guanajuato","1,421,380.913",
"2020",	12,"Guerrero","837,630.346",
"2020",	13,"Hidalgo","1,898,656.116",
"2020",	14,"Jalisco","1,589,116.693",
"2020",	15,"México","3,354,167.426",
"2020",	16,"Michoacán de Ocampo","1,392,367.013",
"2020",	17,"Morelos","546,940.464",
"2020",	18,"Nayarit","253,193.729",
"2020",	19,"Nuevo León","1,264,614.385",
"2020",	20,"Oaxaca","1,912,799.944",
"2020",	21,"Puebla","2,185,317.733",
"2020",	22,"Querétaro","596,241.404",
"2020",	23,"Quintana Roo","393,112.976",
"2020",	24,"San Luis Potosí","976,549.742",
"2020",	25,"Sinaloa","650,436.077",
"2020",	26,"Sonora","801,959.863",
"2020",	27,"Tabasco","567,103.488",
"2020",	28,"Tamaulipas","1,023,410.852",
"2020",	29,"Tlaxcala","645,113.956",
"2020",	30,"Veracruz de Ignacio de la Llave","1,973,509.835",
"2020",	31,"Yucatán","845,150.017",
"2020",	32,"Zacatecas","502,737.572",
