"Periodo","cvegeo","Entidad_federativa","Proporción_media_de_la_superficie_edificada_de_las_ciudades_que_se_dedica_a_espacios_abiertos_para_uso_público_de_todos",
"2020",	00,"Estados Unidos Mexicanos","6.30960776416923",
"2020",	01,"Aguascalientes","7.01734974674715",
"2020",	02,"Baja California","3.89743418311458",
"2020",	03,"Baja California Sur","3.54226285484472",
"2020",	04,"Campeche","8.32985605451839",
"2020",	05,"Coahuila de Zaragoza","5.19457650685732",
"2020",	06,"Colima","15.2829797992255",
"2020",	07,"Chiapas","4.15965408840881",
"2020",	08,"Chihuahua","6.05614418642995",
"2020",	09,"Ciudad de México","10.8024278138938",
"2020",	10,"Durango","4.67763641272989",
"2020",	11,"Guanajuato","4.73218275268692",
"2020",	12,"Guerrero","8.29525585582953",
"2020",	13,"Hidalgo","8.06965818435015",
"2020",	14,"Jalisco","9.14220626142428",
"2020",	15,"México","6.99357877032868",
"2020",	16,"Michoacán de Ocampo","8.798071758164",
"2020",	17,"Morelos","7.03313592574689",
"2020",	18,"Nayarit","7.65672970819633",
"2020",	19,"Nuevo León","7.05101157366902",
"2020",	20,"Oaxaca","3.88816192883736",
"2020",	21,"Puebla","4.87537731783741",
"2020",	22,"Querétaro","5.00543144703386",
"2020",	23,"Quintana Roo","6.94085025295702",
"2020",	24,"San Luis Potosí","3.93599837743851",
"2020",	25,"Sinaloa","6.06208886534441",
"2020",	26,"Sonora","4.07498936671083",
"2020",	27,"Tabasco","8.59857684123431",
"2020",	28,"Tamaulipas","5.11239282976819",
"2020",	29,"Tlaxcala","6.14712030815219",
"2020",	30,"Veracruz de Ignacio de la Llave","6.82151801871483",
"2020",	31,"Yucatán","6.64750279476123",
"2020",	32,"Zacatecas","4.54606165779072",
