"Serie","Periodo","Materiales|Total","Materiales|Biomasa","Materiales|Combustibles_fósiles","Materiales|Minerales_metálicos","Materiales|Minerales_no_metálicos",
"Consumo_material_interno_en_términos_absolutos","2024","27,821,504,915","1,026,356,748","55,567,749","28,408,609","26,711,171,809",
"Consumo_material_interno_en_términos_absolutos","2023","25,400,329,851","1,110,684,802","61,234,610","29,557,722","24,198,852,717",
"Consumo_material_interno_en_términos_absolutos","2022","24,711,594,150","1,230,547,186","65,162,860","20,971,393","23,394,912,711",
"Consumo_material_interno_en_términos_absolutos","2021","14,833,247,495","1,225,014,913","62,599,012","27,158,430","13,518,475,140",
"Consumo_material_interno_en_términos_absolutos","2020","12,821,570,398","1,200,088,918","55,197,070","19,060,667","11,547,223,743",
"Consumo_material_interno_en_términos_absolutos","2019","5,106,473,164","1,243,419,769","80,403,368","19,892,285","3,762,757,742",
"Consumo_material_interno_en_términos_absolutos","2018","2,890,278,093","1,039,451,281","62,010,000","16,315,358","1,772,501,454",
"Consumo_material_interno_en_términos_absolutos","2017","2,851,898,201","1,019,885,793","74,257,054","13,208,575","1,744,546,779",
"Consumo_material_interno_en_términos_absolutos","2016","2,410,396,317","950,501,152","90,186,750","15,339,890","1,354,368,525",
"Consumo_material_interno_en_términos_absolutos","2015","2,507,931,165","858,510,121","100,915,516","15,093,575","1,533,411,953",
"Consumo_material_interno_en_términos_absolutos","2014","2,220,732,076","935,380,116","109,170,477","15,927,484","1,160,253,999",
"Consumo_material_interno_en_términos_absolutos","2013","1,415,010,212","919,498,681","110,684,238","10,644,711","374,182,582",
"Consumo_material_interno_en_términos_absolutos","2012","1,377,003,750","897,114,837","107,937,760","12,239,109","359,712,044",
"Consumo_material_interno_en_términos_absolutos","2011","1,376,867,310","923,890,876","103,837,180","10,037,258","339,101,996",
"Consumo_material_interno_en_términos_absolutos","2010","1,378,401,682","912,584,125","108,968,650","12,142,530","344,706,377",
"Consumo_material_interno_en_términos_absolutos","2009","1,373,428,303","910,014,562","116,304,217","11,018,768","336,090,756",
"Consumo_material_interno_en_términos_absolutos","2008","1,331,735,409","865,261,910","116,570,953","14,736,926","335,165,620",
"Consumo_material_interno_en_términos_absolutos","2007","1,327,683,554","877,396,809","111,049,868","9,903,925","329,332,952",
"Consumo_material_interno_en_términos_absolutos","2006","1,242,905,430","802,316,669","112,856,177","10,042,506","317,690,078",
"Consumo_material_interno_en_términos_absolutos","2005","1,220,383,405","825,849,910","113,271,735","10,614,752","270,647,008",
"Consumo_material_interno_en_términos_absolutos","2004","1,264,243,235","856,113,439","113,222,956","10,472,760","284,434,080",
"Consumo_material_interno_en_términos_absolutos","2003","1,189,212,139","816,686,066","113,301,051","10,604,000","248,621,022",
