"Periodo","Población_total",
"2024","130,025,561",
"2023","129,317,730",
"2022","128,582,096",
"2021","127,615,215",
"2020","126,383,323",
"2019","127,215,666",
"2018","125,995,825",
"2017","124,777,172",
"2016","123,587,407",
"2015","122,368,490",
"2014","121,048,604",
"2013","119,597,654",
"2012","118,060,514",
"2011","116,446,180",
"2010","114,756,059",
"2009","113,030,218",
"2008","111,275,915",
"2007","109,538,665",
"2006","107,885,646",
"2005","106,370,948",
"2004","104,970,581",
"2003","103,587,899",
