"Periodo","cvegeo","Entidad_federativa","Cantidad_promedio_diaria_de_RSU_recolectados_de_manera_selectiva",
"2022",	00,"Estados Unidos Mexicanos","14,679.24",
"2022",	01,"Aguascalientes","0",
"2022",	02,"Baja California","0",
"2022",	03,"Baja California Sur","0",
"2022",	04,"Campeche","0",
"2022",	05,"Coahuila de Zaragoza","0",
"2022",	06,"Colima","0.4",
"2022",	07,"Chiapas","10",
"2022",	08,"Chihuahua","0",
"2022",	09,"Ciudad de México","12,676.21",
"2022",	10,"Durango","0",
"2022",	11,"Guanajuato","1.593",
"2022",	12,"Guerrero","35.827",
"2022",	13,"Hidalgo","70.202",
"2022",	14,"Jalisco","769.736",
"2022",	15,"México","526.26",
"2022",	16,"Michoacán de Ocampo","30.87",
"2022",	17,"Morelos","0",
"2022",	18,"Nayarit","0",
"2022",	19,"Nuevo León","0.854",
"2022",	20,"Oaxaca","257.896",
"2022",	21,"Puebla","8.904",
"2022",	22,"Querétaro","11.644",
"2022",	23,"Quintana Roo","0",
"2022",	24,"San Luis Potosí","0",
"2022",	25,"Sinaloa","0",
"2022",	26,"Sonora","17.255",
"2022",	27,"Tabasco","0",
"2022",	28,"Tamaulipas","1.471",
"2022",	29,"Tlaxcala","2",
"2022",	30,"Veracruz de Ignacio de la Llave","247.725",
"2022",	31,"Yucatán","9.5",
"2022",	32,"Zacatecas","0.9",
"2020",	00,"Estados Unidos Mexicanos","14,384.58",
"2020",	01,"Aguascalientes","0.076",
"2020",	02,"Baja California","0",
"2020",	03,"Baja California Sur","0",
"2020",	04,"Campeche","0",
"2020",	05,"Coahuila de Zaragoza","0",
"2020",	06,"Colima","2.75",
"2020",	07,"Chiapas","50.25",
"2020",	08,"Chihuahua","0",
"2020",	09,"Ciudad de México","13,203.1",
"2020",	10,"Durango","0",
"2020",	11,"Guanajuato","3.437",
"2020",	12,"Guerrero","0.03",
"2020",	13,"Hidalgo","31.41",
"2020",	14,"Jalisco","221.708",
"2020",	15,"México","374.43",
"2020",	16,"Michoacán de Ocampo","57.77",
"2020",	17,"Morelos","0.823",
"2020",	18,"Nayarit","0",
"2020",	19,"Nuevo León","2.4",
"2020",	20,"Oaxaca","190.374",
"2020",	21,"Puebla","25.346",
"2020",	22,"Querétaro","36.5",
"2020",	23,"Quintana Roo","0",
"2020",	24,"San Luis Potosí","0",
"2020",	25,"Sinaloa","0",
"2020",	26,"Sonora","15.7",
"2020",	27,"Tabasco","0",
"2020",	28,"Tamaulipas","1.471",
"2020",	29,"Tlaxcala","3",
"2020",	30,"Veracruz de Ignacio de la Llave","163.2",
"2020",	31,"Yucatán","0",
"2020",	32,"Zacatecas","0.8",
"2018",	00,"Estados Unidos Mexicanos","12,906.11",
"2018",	01,"Aguascalientes","0",
"2018",	02,"Baja California","0",
"2018",	03,"Baja California Sur","0",
"2018",	04,"Campeche","0",
"2018",	05,"Coahuila de Zaragoza","0",
"2018",	06,"Colima","12.2",
"2018",	07,"Chiapas","16",
"2018",	08,"Chihuahua","5.8",
"2018",	09,"Ciudad de México","10,460.82",
"2018",	10,"Durango","0",
"2018",	11,"Guanajuato","416.684",
"2018",	12,"Guerrero","0",
"2018",	13,"Hidalgo","34.869",
"2018",	14,"Jalisco","165.043",
"2018",	15,"México","1,268.5",
"2018",	16,"Michoacán de Ocampo","49",
"2018",	17,"Morelos","26.9",
"2018",	18,"Nayarit","6",
"2018",	19,"Nuevo León","2.23",
"2018",	20,"Oaxaca","79.851",
"2018",	21,"Puebla","32.3",
"2018",	22,"Querétaro","36.85",
"2018",	23,"Quintana Roo","0",
"2018",	24,"San Luis Potosí","1",
"2018",	25,"Sinaloa","0",
"2018",	26,"Sonora","16.35",
"2018",	27,"Tabasco","0",
"2018",	28,"Tamaulipas","0.686",
"2018",	29,"Tlaxcala","3",
"2018",	30,"Veracruz de Ignacio de la Llave","269.507",
"2018",	31,"Yucatán","2.02",
"2018",	32,"Zacatecas","0.5",
"2016",	00,"Estados Unidos Mexicanos","15,707.41",
"2016",	01,"Aguascalientes","0",
"2016",	02,"Baja California","0",
"2016",	03,"Baja California Sur","0",
"2016",	04,"Campeche","0",
"2016",	05,"Coahuila de Zaragoza","0",
"2016",	06,"Colima","5.75",
"2016",	07,"Chiapas","33",
"2016",	08,"Chihuahua","150",
"2016",	09,"Ciudad de México","12,566.78",
"2016",	10,"Durango","7.7",
"2016",	11,"Guanajuato","26.017",
"2016",	12,"Guerrero","70",
"2016",	13,"Hidalgo","31",
"2016",	14,"Jalisco","388.7216",
"2016",	15,"México","286.842",
"2016",	16,"Michoacán de Ocampo","69.51",
