"Periodo","Emisión_de_dióxido_de_carbono_por_la_quema_de_combustibles_fósiles",
"2021","388,845,569.03",
"2020","398,693,932.57",
"2019","454,676,191.17",
"2018","458,085,080.38",
"2017","464,404,330.51",
"2016","486,506,511.03",
"2015","450,473,537.66",
"2014","438,638,607.51",
"2013","447,044,683.08",
"2012","447,535,956.67",
"2011","445,559,926.36",
"2010","421,214,609.7",
"2009","414,309,695.74",
"2008","418,133,034.13",
"2007","410,731,545.06",
"2006","396,809,280.86",
"2005","390,135,193.31",
"2004","377,193,715.01",
"2003","362,875,950.37",
"2002","349,893,337.31",
"2001","346,149,960.56",
"2000","345,925,473.59",
"1999","332,949,062.55",
"1998","335,765,794",
"1997","317,140,510.03",
"1996","304,236,264.85",
"1995","295,586,986.9",
"1994","309,009,164.34",
"1993","289,141,722.36",
"1992","289,066,771.06",
"1991","287,735,675.18",
"1990","277,455,844.58",
