"Periodo","PIB_anual_en_millones_de_dólares_de_EU_a_paridad_de_poder_de_compra_corriente",
"2021","2,480,684.4",
"2020","2,333,740.77",
"2019","2,529,761.7",
"2018","2,535,949.67",
"2017","2,460,766.1",
"2016","2,383,253.08",
"2015","2,230,188.94",
"2014","2,173,227.41",
"2013","2,064,490.95",
"2012","2,012,767.78",
"2011","1,911,319.1",
"2010","1,740,490.34",
"2009","1,636,084.57",
"2008","1,653,898.19",
"2007","1,560,834.85",
"2006","1,485,717.87",
"2005","1,341,775.46",
"2004","1,263,689.08",
"2003","1,184,225.32",
"2002","1,137,595.97",
"2001","1,116,922.4",
"2000","1,096,748.82",
"1999","1,018,601.79",
"1998","977,530.11",
"1997","919,184.02",
"1996","845,698.56",
"1995","777,809.43",
"1994","812,981.04",
"1993","758,505.08",
"1992","715,513.58",
"1991","675,074.83",
"1990","626,538.13",
