"Periodo","Intensidad_de_carbono_por_la_quema_de_combustibles_fósiles",
"2021","0.156749310404455",
"2020","0.170838997142305",
"2019","0.179730838065241",
"2018","0.180636503223342",
"2017","0.188723475696061",
"2016","0.20413547965447",
"2015","0.201988956889743",
"2014","0.201837417054677",
"2013","0.216539909622842",
"2012","0.222348529667067",
"2011","0.233116452032308",
"2010","0.242009162877572",
"2009","0.253232444756782",
"2008","0.252816670736125",
"2007","0.263148625441275",
"2006","0.267082524936961",
"2005","0.290760418639847",
"2004","0.298486171386993",
"2003","0.306424752057912",
"2002","0.307572589442979",
"2001","0.309914065473286",
"2000","0.315409936035435",
"1999","0.326868717993415",
"1998","0.343483838409815",
"1997","0.345023960560895",
"1996","0.359745515156349",
"1995","0.380024944383399",
"1994","0.380093937171311",
"1993","0.381199454515229",
"1992","0.403999000361065",
"1991","0.426227824296632",
"1990","0.442839517611372",
