"Periodo","Emisiones_de_dióxido_de_carbono_total_por_el_sector_Procesos_industriales_y_uso_de_productos",
"2019","73,672.41",
"2018","74,768.85",
"2017","70,978.71",
"2016","67,972.89",
"2015","66,910.45",
"2014","68,774.21",
"2013","65,101.66",
"2012","62,459.79",
"2011","62,059.84",
"2010","64,301.62",
"2009","56,959.48",
"2008","60,457.81",
"2007","57,941.96",
"2006","55,630.06",
"2005","51,969.3",
"2004","58,103.58",
"2003","48,637.04",
"2002","46,642.95",
"2001","47,907.37",
"2000","49,578.04",
"1999","48,125.68",
"1998","44,221.42",
"1997","43,860.37",
"1996","40,674.56",
"1995","36,026.25",
"1994","35,916.26",
"1993","33,118.05",
"1992","32,275.71",
"1991","31,324.83",
"1990","32,510.57",
