"Periodo","Emisiones_de_dióxido_de_carbono_total_por_el_sector_Agricultura,_silvicultura_y_otros_usos_de_la_tierra",
"2019","140,807.24",
"2018","140,362.58",
"2017","134,900.55",
"2016","130,678.38",
"2015","134,064.78",
"2014","130,253.78",
"2013","134,986.98",
"2012","126,306.54",
"2011","134,991.94",
"2010","130,221.36",
"2009","126,136.43",
"2008","122,692.56",
"2007","119,802.73",
"2006","117,124.17",
"2005","116,683.63",
"2004","118,010.36",
"2003","117,016.68",
"2002","115,970.22",
"2001","112,430.44",
"2000","112,518.79",
"1999","110,489.62",
"1998","111,892.97",
"1997","109,944.59",
"1996","106,826.71",
"1995","114,104.31",
"1994","115,726.16",
"1993","109,852.85",
"1992","111,019.36",
"1991","112,352.19",
"1990","113,622.02",
