"Periodo","Emisiones_de_dióxido_de_carbono_total_por_el_sector_Residuos",
"2019","54,257.55",
"2018","52,969.82",
"2017","51,901.56",
"2016","51,320.21",
"2015","50,504.64",
"2014","49,407.65",
"2013","47,745.08",
"2012","46,567.21",
"2011","45,760.02",
"2010","44,410.83",
"2009","42,617.12",
"2008","40,579.3",
"2007","38,585.31",
"2006","36,656.12",
"2005","34,854.41",
"2004","33,298.92",
"2003","32,756.43",
"2002","31,543.17",
"2001","30,292.27",
"2000","28,662.49",
"1999","27,526.92",
"1998","27,238.96",
"1997","25,901.88",
"1996","24,017.26",
"1995","22,677.95",
"1994","20,975.65",
"1993","19,395.4",
"1992","17,663.54",
"1991","16,189.11",
"1990","14,747.1",
