"Serie","Periodo","Sector_de_Emisión|Energía","Sector_de_Emisión|Procesos_industriales_y_uso_de_productos","Sector_de_Emisión|Agricultura,_silvicultura_y_otros_usos_de_la_tierra","Sector_de_Emisión|Residuos","Sector_de_Emisión|Emisiones_totales",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2019","490,764.12","73,672.41","140,807.24","54,257.55","759,501.32",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2018","494,070.98","74,768.85","140,362.58","52,969.82","762,172.23",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2017","499,325.54","70,978.71","134,900.55","51,901.56","757,106.36",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2016","535,568.91","67,972.89","130,678.38","51,320.21","785,540.39",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2015","494,298.96","66,910.45","134,064.78","50,504.64","745,778.83",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2014","486,562.55","68,774.21","130,253.78","49,407.65","734,998.19",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2013","487,619.46","65,101.66","134,986.98","47,745.08","735,453.19",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2012","487,068.36","62,459.79","126,306.54","46,567.21","722,401.9",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2011","495,065.14","62,059.84","134,991.94","45,760.02","737,876.95",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2010","480,763.49","64,301.62","130,221.36","44,410.83","719,697.3",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2009","495,991.98","56,959.48","126,136.43","42,617.12","721,705.01",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2008","512,522.9","60,457.81","122,692.56","40,579.3","736,252.57",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2007","471,095.94","57,941.96","119,802.73","38,585.31","687,425.94",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2006","443,865.1","55,630.06","117,124.17","36,656.12","653,275.45",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2005","433,418.81","51,969.3","116,683.63","34,854.41","636,926.16",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2004","417,404.12","58,103.58","118,010.36","33,298.92","626,816.97",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2003","408,454.92","48,637.04","117,016.68","32,756.43","606,865.07",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2002","412,265.59","46,642.95","115,970.22","31,543.17","606,421.94",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2001","393,369.06","47,907.37","112,430.44","30,292.27","583,999.14",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","2000","397,055.09","49,578.04","112,518.79","28,662.49","587,814.41",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1999","383,000.08","48,125.68","110,489.62","27,526.92","569,142.31",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1998","394,475.78","44,221.42","111,892.97","27,238.96","577,829.13",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1997","372,277.53","43,860.37","109,944.59","25,901.88","551,984.37",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1996","350,170.93","40,674.56","106,826.71","24,017.26","521,689.45",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1995","330,756.74","36,026.25","114,104.31","22,677.95","503,565.25",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1994","341,343.93","35,916.26","115,726.16","20,975.65","513,962",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1993","321,293.99","33,118.05","109,852.85","19,395.4","483,660.29",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1992","318,971.08","32,275.71","111,019.36","17,663.54","479,929.69",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1991","317,662.79","31,324.83","112,352.19","16,189.11","477,528.93",
"Emisiones_de_gases_de_efecto_invernadero,_desglosadas_por_sector_(actividad_económica)","1990","306,533.43","32,510.57","113,622.02","14,747.1","467,413.12",
