"Periodo","Superficie_marina_calculada_cubierta_por_áreas_naturales_protegidas_federales_en_el_año_t",
"2024","70,794,423.95",
"2023","69,458,613.2",
"2022","69,458,613.2",
"2021","69,458,613.2",
"2020","69,458,613.2",
"2019","69,458,613.2",
"2018","69,458,613.2",
"2017","69,458,613.2",
"2016","54,665,351.3",
"2015","4,234,681.89",
"2014","4,234,681.89",
"2013","4,234,681.89",
"2012","4,234,681.89",
"2011","4,201,392.73",
"2010","4,201,392.73",
"2009","4,201,392.73",
"2008","3,879,268.63",
"2007","3,879,268.63",
"2006","3,443,140.12",
"2005","3,443,140.12",
"2004","2,932,691.23",
"2003","2,932,691.23",
"2002","2,932,691.23",
"2001","2,902,652.98",
"2000","2,902,652.98",
"1999","2,252,680.03",
"1998","2,070,688.93",
"1997","2,017,681.62",
"1996","2,017,681.62",
"1995","1,668,440.69",
"1994","1,632,153.12",
"1993","1,037,824.03",
