"Periodo","Cobertura_de_las_zonas_protegidas_en_relación_con_las_zonas_marinas",
"2024","22.474991095",
"2023","22.05091",
"2022","22.05091342",
"2021","22.05091342",
"2020","22.05091342",
"2019","22.05091342",
"2018","22.05091342",
"2017","22.05091342",
"2016","17.35452053",
"2015","1.3443776",
"2014","1.3443776",
"2013","1.3443776",
"2012","1.3443776",
"2011","1.333809344",
"2010","1.333809344",
"2009","1.333809344",
"2008","1.231545128",
"2007","1.231545128",
"2006","1.093088117",
"2005","1.093088117",
"2004","0.931036734",
"2003","0.931036734",
"2002","0.931036734",
"2001","0.92150054",
"2000","0.92150054",
"1999","0.71515468",
"1998","0.65737826",
"1997","0.640550116",
"1996","0.640550116",
"1995","0.529677163",
"1994","0.518157007",
"1993","0.329476314",
