"Periodo","Presupuesto_Federal_para_Investigación_Científica_y_Desarrollo_Experimental_asignado_a_la_Secretaría_de_Marina",
"2025","189.530734",
"2024","194.844545",
"2023","198.680516",
"2022","177.241266",
"2021","141.98747",
"2020","238.8059323",
"2019","210.4970463",
"2018","171.5146833",
"2017","341.2775877",
"2016","205.8624609",
"2015","139.5971337",
"2014","382.9407908",
"2013","536.4476766",
"2012","611.1017841",
"2011","463.511734",
"2010","391.917618",
"2009","370.406348",
"2008","394.174341",
"2007","242.263308",
