"Periodo","Presupuesto_Federal_Total_para_investigación_Científica_y_Desarrollo_Experimental",
"2025","65,793.790108",
"2024","67,647.51928344",
"2023","63,630.9071244",
"2022","54,893.41821745",
"2021","52,398.01552623",
"2020","49,183.55972667",
"2019","48,248.79899115",
"2018","51,205.20868283",
"2017","50,536.27107044",
"2016","55,725.12713173",
"2015","59,068.58797058",
"2014","57,803.51001366",
"2013","49,807.48844268",
"2012","45,997.2139473",
"2011","41,436.13525668",
"2010","39,421.12769638",
"2009","30,998.52145",
"2008","29,998.70110556",
"2007","24,090.979792",
