"Periodo","Proporción_del_Presupuesto_Federal_para_Investigación_Científica_y_Desarrollo_Experimental_asignado_a_la_Secretaría_de_Marina",
"2025","0.28806781565386",
"2024","0.2880291059656",
"2023","0.31223901242139",
"2022","0.32288254540442",
"2021","0.27097871660602",
"2020","0.48554015528182",
"2019","0.43627416779558",
"2018","0.33495554011388",
"2017","0.67531216779788",
"2016","0.36942483842766",
"2015","0.23633057519426",
"2014","0.66248708900118",
"2013","1.07704221460064",
"2012","1.32856260544422",
"2011","1.11861719518177",
"2010","0.99418165055686",
"2009","1.19491617881665",
"2008","1.31397136033668",
"2007","1.00561832723985",
