"Periodo","Superficie_cubierta_por_la_Zona_Económica_Exclusiva_en_el_año_t",
"2024","314,992,000",
"2023","314,992,000",
"2022","314,992,000",
"2021","314,992,000",
"2020","314,992,000",
"2019","314,992,000",
"2018","314,992,000",
"2017","314,992,000",
"2016","314,992,000",
"2015","314,992,000",
"2014","314,992,000",
"2013","314,992,000",
"2012","314,992,000",
"2011","314,992,000",
"2010","314,992,000",
"2009","314,992,000",
"2008","314,992,000",
"2007","314,992,000",
"2006","314,992,000",
"2005","314,992,000",
"2004","314,992,000",
"2003","314,992,000",
"2002","314,992,000",
"2001","314,992,000",
"2000","314,992,000",
"1999","314,992,000",
"1998","314,992,000",
"1997","314,992,000",
"1996","314,992,000",
"1995","314,992,000",
"1994","314,992,000",
"1993","314,992,000",
