"Periodo","Grupo_taxonómico","Número_de_especies_del_grupo_taxonómico_en_alguna_categoría_de_riesgo",
"2023","Anfibios","195",
"2023","Algas","ND",
"2023","Aves","394",
"2023","Briofitas","6",
"2023","Gimnospermas y Angiospermas","981",
"2023","Hongos","46",
"2023","Invertebrados","64",
"2023","Mamíferos","249",
"2023","Peces","220",
"2023","Pteridofitas","27",
"2023","Reptiles","443",
"2022","Anfibios","195",
"2022","Algas","ND",
"2022","Aves","394",
"2022","Briofitas","6",
"2022","Gimnospermas y Angiospermas","981",
"2022","Hongos","46",
"2022","Invertebrados","64",
"2022","Mamíferos","249",
"2022","Peces","220",
"2022","Pteridofitas","27",
"2022","Reptiles","443",
"2021","Anfibios","195",
"2021","Algas","ND",
"2021","Aves","394",
"2021","Briofitas","6",
"2021","Gimnospermas y Angiospermas","981",
"2021","Hongos","46",
"2021","Invertebrados","64",
"2021","Mamíferos","249",
"2021","Peces","220",
"2021","Pteridofitas","27",
"2021","Reptiles","443",
"2020","Anfibios","195",
"2020","Algas","ND",
"2020","Aves","394",
"2020","Briofitas","6",
"2020","Gimnospermas y Angiospermas","981",
"2020","Hongos","46",
"2020","Invertebrados","64",
"2020","Mamíferos","249",
"2020","Peces","220",
"2020","Pteridofitas","27",
"2020","Reptiles","443",
"2019","Anfibios","195",
"2019","Algas","ND",
"2019","Aves","394",
"2019","Briofitas","6",
"2019","Gimnospermas y Angiospermas","981",
"2019","Hongos","46",
"2019","Invertebrados","64",
"2019","Mamíferos","249",
"2019","Peces","220",
"2019","Pteridofitas","27",
"2019","Reptiles","443",
"2018","Anfibios","194",
"2018","Algas","2",
"2018","Aves","383",
"2018","Briofitas","6",
"2018","Gimnospermas y Angiospermas","949",
"2018","Hongos","46",
"2018","Invertebrados","48",
"2018","Mamíferos","251",
"2018","Peces","204",
"2018","Pteridofitas","30",
"2018","Reptiles","439",
"2017","Anfibios","194",
"2017","Algas","2",
"2017","Aves","383",
"2017","Briofitas","6",
"2017","Gimnospermas y Angiospermas","949",
"2017","Hongos","46",
"2017","Invertebrados","48",
"2017","Mamíferos","251",
"2017","Peces","204",
"2017","Pteridofitas","30",
"2017","Reptiles","439",
"2016","Anfibios","194",
"2016","Algas","2",
"2016","Aves","383",
"2016","Briofitas","6",
"2016","Gimnospermas y Angiospermas","949",
"2016","Hongos","46",
"2016","Invertebrados","48",
"2016","Mamíferos","251",
"2016","Peces","204",
"2016","Pteridofitas","30",
"2016","Reptiles","439",
"2015","Anfibios","194",
"2015","Algas","2",
"2015","Aves","383",
"2015","Briofitas","6",
"2015","Gimnospermas y Angiospermas","949",
"2015","Hongos","46",
"2015","Invertebrados","48",
"2015","Mamíferos","251",
"2015","Peces","204",
"2015","Pteridofitas","30",
"2015","Reptiles","439",
"2014","Anfibios","194",
"2014","Algas","2",
"2014","Aves","383",
"2014","Briofitas","6",
"2014","Gimnospermas y Angiospermas","949",
"2014","Hongos","46",
"2014","Invertebrados","48",
"2014","Mamíferos","251",
"2014","Peces","204",
"2014","Pteridofitas","30",
"2014","Reptiles","439",
"2013","Anfibios","194",
"2013","Algas","2",
"2013","Aves","383",
"2013","Briofitas","6",
"2013","Gimnospermas y Angiospermas","949",
"2013","Hongos","46",
"2013","Invertebrados","48",
"2013","Mamíferos","251",
"2013","Peces","204",
"2013","Pteridofitas","30",
"2013","Reptiles","439",
"2012","Anfibios","194",
"2012","Algas","2",
"2012","Aves","383",
"2012","Briofitas","6",
"2012","Gimnospermas y Angiospermas","949",
"2012","Hongos","46",
"2012","Invertebrados","48",
"2012","Mamíferos","251",
"2012","Peces","204",
"2012","Pteridofitas","30",
"2012","Reptiles","439",
"2011","Anfibios","194",
"2011","Algas","2",
"2011","Aves","383",
"2011","Briofitas","6",
"2011","Gimnospermas y Angiospermas","949",
"2011","Hongos","46",
"2011","Invertebrados","48",
"2011","Mamíferos","251",
"2011","Peces","204",
"2011","Pteridofitas","30",
"2011","Reptiles","439",
"2010","Anfibios","194",
"2010","Algas","2",
"2010","Aves","383",
"2010","Briofitas","6",
"2010","Gimnospermas y Angiospermas","949",
"2010","Hongos","46",
"2010","Invertebrados","48",
"2010","Mamíferos","251",
"2010","Peces","204",
"2010","Pteridofitas","30",
"2010","Reptiles","439",
