"Serie","Periodo","Grupo_taxonómico|Anfibios","Grupo_taxonómico|Algas","Grupo_taxonómico|Aves","Grupo_taxonómico|Briofitas","Grupo_taxonómico|Gimnospermas_y_Angiospermas","Grupo_taxonómico|Hongos","Grupo_taxonómico|Invertebrados","Grupo_taxonómico|Mamíferos","Grupo_taxonómico|Peces","Grupo_taxonómico|Pteridofitas","Grupo_taxonómico|Reptiles",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2023","432","5,278","1,115","1,628","26,277","5,521","57,355","570","3,076","1,223","980",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2022","432","5,269","1,116","1,625","26,278","5,510","56,725","565","3,119","1,218","970",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2021","418","5,254","1,116","1,610","26,322","5,508","56,432","558","3,113","1,218","958",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2020","424","4,952","1,113","1,620","26,624","5,507","53,912","553","3,116","1,227","935",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2019","410","4,902","1,112","1,628","26,766","5,498","53,082","550","2,914","1,165","925",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2018","404","4,901","1,106","1,614","25,420","5,261","50,567","535","2,844","1,132","915",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2017","391","4,897","1,109","1,401","25,550","4,474","50,334","546","2,783","1,154","895",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2016","389","4,963","1,106","1,609","25,326","4,477","46,840","546","2,781","1,147","887",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2015","394","4,988","1,120","1,621","26,232","4,477","46,403","563","2,851","1,157","926",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2014","381","4,931","1,110","1,616","26,172","4,476","45,507","556","2,782","1,150","885",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2013","382","4,919","1,074","1,573","25,312","4,282","47,486","549","2,776","1,133","866",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2012","380","3,744","1,096","1,500","23,250","2,182","34,627","532","2,716","1,102","804",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2011","380","3,744","1,096","1,493","22,602","2,182","34,627","532","2,716","1,087","804",
"Número_de_especies_catalogadas_en_bases_de_datos_en_CONABIO","2010","380","3,452","1,096","1,493","21,557","2,136","34,627","532","2,716","1,066","804",
