"Periodo","Grupo_taxonómico","Proporción_de_especies_en_peligro_de_extinción",
"2023","Anfibios","45.13888889",
"2023","Algas","ND",
"2023","Aves","35.33632287",
"2023","Briofitas","0.368550369",
"2023","Gimnospermas y Angiospermas","3.733302888",
"2023","Hongos","0.833182394",
"2023","Invertebrados","0.111585738",
"2023","Mamíferos","43.68421053",
"2023","Peces","7.152145644",
"2023","Pteridofitas","2.207686018",
"2023","Reptiles","45.20408163",
"2022","Anfibios","45.13888889",
"2022","Algas","ND",
"2022","Aves","35.3046595",
"2022","Briofitas","0.369230769",
"2022","Gimnospermas y Angiospermas","3.733160819",
"2022","Hongos","0.834845735",
"2022","Invertebrados","0.112825033",
"2022","Mamíferos","44.07079646",
"2022","Peces","7.053542802",
"2022","Pteridofitas","2.216748768",
"2022","Reptiles","45.67010309",
"2021","Anfibios","46.6507177",
"2021","Algas","ND",
"2021","Aves","35.3046595",
"2021","Briofitas","0.372670807",
"2021","Gimnospermas y Angiospermas","3.726920447",
"2021","Hongos","0.835148874",
"2021","Invertebrados","0.111638787",
"2021","Mamíferos","44.62365591",
"2021","Peces","7.067137809",
"2021","Pteridofitas","2.216748768",
"2021","Reptiles","46.24217119",
"2020","Anfibios","45.99056604",
"2020","Algas","ND",
"2020","Aves","35.39982031",
"2020","Briofitas","0.37037037",
"2020","Gimnospermas y Angiospermas","3.684645433",
"2020","Hongos","0.835300527",
"2020","Invertebrados","0.1168571",
"2020","Mamíferos","45.02712477",
"2020","Peces","7.060333761",
"2020","Pteridofitas","2.200488998",
"2020","Reptiles","47.37967914",
"2019","Anfibios","47.56097561",
"2019","Algas","ND",
"2019","Aves","35.43165468",
"2019","Briofitas","0.368550369",
"2019","Gimnospermas y Angiospermas","3.665097512",
"2019","Hongos","0.836667879",
"2019","Invertebrados","0.1186843",
"2019","Mamíferos","45.27272727",
"2019","Peces","7.54975978",
"2019","Pteridofitas","2.317596567",
"2019","Reptiles","47.89189189",
"2018","Anfibios","48.01980198",
"2018","Algas","0.040807998",
"2018","Aves","34.62929476",
"2018","Briofitas","0.371747212",
"2018","Gimnospermas y Angiospermas","3.733280881",
"2018","Hongos","0.874358487",
"2018","Invertebrados","0.094923567",
"2018","Mamíferos","46.91588785",
"2018","Peces","7.172995781",
"2018","Pteridofitas","2.650176678",
"2018","Reptiles","47.97814208",
"2017","Anfibios","49.61636829",
"2017","Algas","0.040841331",
"2017","Aves","34.53561767",
"2017","Briofitas","0.428265525",
"2017","Gimnospermas y Angiospermas","3.714285714",
"2017","Hongos","1.028162718",
"2017","Invertebrados","0.095362975",
"2017","Mamíferos","45.97069597",
"2017","Peces","7.330219188",
"2017","Pteridofitas","2.59965338",
"2017","Reptiles","49.05027933",
"2016","Anfibios","49.8714653",
"2016","Algas","0.040298207",
"2016","Aves","34.62929476",
"2016","Briofitas","0.372902424",
"2016","Gimnospermas y Angiospermas","3.747137329",
"2016","Hongos","1.027473755",
"2016","Invertebrados","0.102476516",
"2016","Mamíferos","45.97069597",
"2016","Peces","7.335490831",
"2016","Pteridofitas","2.615518745",
"2016","Reptiles","49.49267193",
"2015","Anfibios","49.23857868",
"2015","Algas","0.040096231",
"2015","Aves","34.19642857",
"2015","Briofitas","0.370141888",
"2015","Gimnospermas y Angiospermas","3.617718817",
"2015","Hongos","1.027473755",
"2015","Invertebrados","0.103441588",
"2015","Mamíferos","44.58259325",
"2015","Peces","7.155384076",
"2015","Pteridofitas","2.592912705",
"2015","Reptiles","47.40820734",
"2014","Anfibios","50.91863517",
"2014","Algas","0.040559724",
"2014","Aves","34.5045045",
"2014","Briofitas","0.371287129",
"2014","Gimnospermas y Angiospermas","3.626012532",
"2014","Hongos","1.027703307",
"2014","Invertebrados","0.105478278",
"2014","Mamíferos","45.14388489",
"2014","Peces","7.332854062",
"2014","Pteridofitas","2.608695652",
"2014","Reptiles","49.60451977",
"2013","Anfibios","50.78534031",
"2013","Algas","0.04065867",
"2013","Aves","35.66108007",
"2013","Briofitas","0.381436745",
"2013","Gimnospermas y Angiospermas","3.749209861",
"2013","Hongos","1.074264362",
"2013","Invertebrados","0.101082424",
"2013","Mamíferos","45.71948998",
"2013","Peces","7.34870317",
"2013","Pteridofitas","2.647837599",
"2013","Reptiles","50.69284065",
"2012","Anfibios","51.05263158",
"2012","Algas","0.053418803",
"2012","Aves","34.94525547",
"2012","Briofitas","0.4",
"2012","Gimnospermas y Angiospermas","4.08172043",
"2012","Hongos","2.108157654",
"2012","Invertebrados","0.138620152",
"2012","Mamíferos","47.18045113",
"2012","Peces","7.511045655",
"2012","Pteridofitas","2.722323049",
"2012","Reptiles","54.60199005",
"2011","Anfibios","51.05263158",
"2011","Algas","0.053418803",
"2011","Aves","34.94525547",
"2011","Briofitas","0.401875419",
"2011","Gimnospermas y Angiospermas","4.198743474",
"2011","Hongos","2.108157654",
"2011","Invertebrados","0.138620152",
"2011","Mamíferos","47.18045113",
"2011","Peces","7.511045655",
"2011","Pteridofitas","2.759889604",
"2011","Reptiles","54.60199005",
"2010","Anfibios","51.05263158",
"2010","Algas","0.057937428",
"2010","Aves","34.94525547",
"2010","Briofitas","0.401875419",
"2010","Gimnospermas y Angiospermas","4.402282321",
"2010","Hongos","2.153558052",
"2010","Invertebrados","0.138620152",
"2010","Mamíferos","47.18045113",
"2010","Peces","7.511045655",
"2010","Pteridofitas","2.814258912",
"2010","Reptiles","54.60199005",
