"Periodo","Número_de_Sitios_RAMSAR",
"2024","144",
"2023","144",
"2022","144",
"2021","142",
"2020","142",
"2019","142",
"2018","142",
"2017","142",
"2016","142",
"2015","142",
"2014","142",
"2013","142",
"2012","138",
"2011","134",
"2010","130",
"2009","124",
"2008","112",
"2007","67",
"2006","65",
"2005","60",
"2004","51",
"2003","17",
"2002","7",
"2001","7",
"2000","7",
"1999","6",
"1998","6",
"1997","6",
"1996","6",
"1995","4",
"1994","1",
"1993","1",
"1992","1",
"1991","1",
"1990","1",
"1989","1",
"1988","1",
"1987","1",
"1986","1",
