"Periodo","Área_de_humedales_incluidos_en_la_Convención_relativa_a_los_Humedales_de_Importancia_Internacional,_especialmente_como_Hábitat_de_Aves_Acuáticas_(Convención_de_Ramsar)",
"2024","8,721,911",
"2023","8,721,911",
"2022","8,721,911",
"2021","8,643,581.516",
"2020","8,643,581.516",
"2019","8,643,581.516",
"2018","8,643,581.516",
"2017","8,643,581.516",
"2016","8,643,581.516",
"2015","8,643,581.516",
"2014","8,643,581.516",
"2013","8,643,581.516",
"2012","8,636,259.578",
"2011","8,588,171.628",
"2010","8,579,802.078",
"2009","8,382,070.162",
"2008","8,118,862.462",
"2007","5,317,878.432",
"2006","5,263,912.452",
"2005","5,251,233.186",
"2004","5,101,458.636",
"2003","1,881,789.78",
"2002","1,103,975.65",
"2001","1,103,975.65",
"2000","1,103,975.65",
"1999","1,042,268.82",
"1998","1,042,268.82",
"1997","1,042,268.82",
"1996","1,042,268.82",
"1995","647,400.82",
"1994","60,347.82",
"1993","60,347.82",
"1992","60,347.82",
"1991","60,347.82",
"1990","60,347.82",
"1989","60,347.82",
"1988","60,347.82",
"1987","60,347.82",
"1986","60,347.82",
