"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2024","848,112","413,024","435,088",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2023","919,404","472,524","446,880",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2022","842,200","443,965","398,235",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2021","802,398","441,109","361,289",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2020","770,088","414,065","356,023",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2019","961,265","522,890","438,375",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2018","984,511","541,731","442,780",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2017","1,146,742","673,926","472,816",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2016","948,097","533,614","414,483",
"Población_de_18_años_y_más_víctima_de_violencia_física_que_denunció_el_hecho_ante_el_Ministerio_Público","2015","856,829","449,200","407,629",
