"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2024","1,071,939","341,035","730,904",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2023","1,119,271","400,168","719,103",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2022","1,060,741","417,619","643,122",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2021","832,068","294,753","537,315",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2020","937,197","357,424","579,773",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2019","1,069,423","427,508","641,915",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2018","1,076,226","449,935","626,291",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2017","904,736","378,161","526,575",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2016","890,564","367,682","522,882",
"Población_de_18_años_y_más_víctima_de_violencia_psicológica_que_denunció_el_hecho_ante_el_Ministerio_Público","2015","906,945","363,432","543,513",
