"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2024","ND","ND","1,318,524",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2023","ND","ND","1,169,524",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2022","ND","ND","1,177,530",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2021","ND","ND","1,196,440",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2020","ND","ND","1,012,371",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2019","ND","ND","1,137,390",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2018","ND","ND","711,226",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2017","ND","ND","721,796",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2016","ND","ND","522,955",
"Población_de_mujeres_de_18_años_y_más_víctimas_de_violencia_sexual","2015","ND","ND","403,863",
