"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2024","914,571","418,101","496,470",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2023","1,005,864","480,768","525,096",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2022","910,675","449,068","461,607",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2021","869,120","448,824","420,296",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2020","837,105","417,902","419,203",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2019","1,021,413","535,241","486,172",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2018","1,032,463","552,850","479,613",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2017","1,183,111","677,388","505,723",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2016","990,272","535,328","454,944",
"Población_de_18_años_y_más_víctimas_de_delitos_violentos_que_informaron_su_victimización_a_autoridades_competentes_u_otros_mecanismos_de_resolución_de_conflictos_reconocidos_oficialmente","2015","891,848","450,489","441,359",
