"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total_Sexo__Proporción_plazas_públicas|Total","Sexo|Total_Sexo__Proporción_plazas_públicas|De_18_a_24_años","Sexo|Total_Sexo__Proporción_plazas_públicas|De_25_a_34_años","Sexo|Total_Sexo__Proporción_plazas_públicas|De_35_a_44_años","Sexo|Total_Sexo__Proporción_plazas_públicas|De_45_a_54_años","Sexo|Total_Sexo__Proporción_plazas_públicas|De_55_a_59_años","Sexo|Total_Sexo__Proporción_plazas_públicas|De_60_años_y_más","Sexo|Hombres_Sexo__Proporción_plazas_públicas|Total","Sexo|Hombres_Sexo__Proporción_plazas_públicas|De_18_a_24_años","Sexo|Hombres_Sexo__Proporción_plazas_públicas|De_25_a_34_años","Sexo|Hombres_Sexo__Proporción_plazas_públicas|De_35_a_44_años","Sexo|Hombres_Sexo__Proporción_plazas_públicas|De_45_a_54_años","Sexo|Hombres_Sexo__Proporción_plazas_públicas|De_55_a_59_años","Sexo|Hombres_Sexo__Proporción_plazas_públicas|De_60_años_y_más","Sexo|Mujeres_Sexo__Proporción_plazas_públicas|Total","Sexo|Mujeres_Sexo__Proporción_plazas_públicas|De_18_a_24_años","Sexo|Mujeres_Sexo__Proporción_plazas_públicas|De_25_a_34_años","Sexo|Mujeres_Sexo__Proporción_plazas_públicas|De_35_a_44_años","Sexo|Mujeres_Sexo__Proporción_plazas_públicas|De_45_a_54_años","Sexo|Mujeres_Sexo__Proporción_plazas_públicas|De_55_a_59_años","Sexo|Mujeres_Sexo__Proporción_plazas_públicas|De_60_años_y_más",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8001000,"Federal","2023","1,405,189","1,405,189","1,405,189","1,405,189","1,405,189","1,405,189","1,405,189","1,405,189","627,477","627,477","627,477","627,477","627,477","627,477","1,405,189","777,706","777,706","777,706","777,706","777,706","777,706",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8002000,"Estatal","2023","2,408,646","2,408,646","2,408,646","2,408,646","2,408,646","2,408,646","2,408,646","2,408,646","1,053,029","1,053,029","1,053,029","1,053,029","1,053,029","1,053,029","2,408,646","1,355,482","1,355,482","1,355,482","1,355,482","1,355,482","1,355,482",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8003001,"Aguascalientes","2023","40,381","40,381","40,381","40,381","40,381","40,381","40,381","40,381","16,528","16,528","16,528","16,528","16,528","16,528","40,381","23,853","23,853","23,853","23,853","23,853","23,853",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8003002,"Baja_California","2023","54,782","54,782","54,782","54,782","54,782","54,782","54,782","54,782","23,792","23,792","23,792","23,792","23,792","23,792","54,782","30,990","30,990","30,990","30,990","30,990","30,990",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8003003,"Baja_California_Sur","2023","25,845","25,845","25,845","25,845","25,845","25,845","25,845","25,845","11,248","11,248","11,248","11,248","11,248","11,248","25,845","14,597","14,597","14,597","14,597","14,597","14,597",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8003004,"Campeche","2023","24,520","24,520","24,520","24,520","24,520","24,520","24,520","24,520","11,904","11,904","11,904","11,904","11,904","11,904","24,520","12,610","12,610","12,610","12,610","12,610","12,610",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8003005,"Coahuila_de_Zaragoza","2023","24,040","24,040","24,040","24,040","24,040","24,040","24,040","24,040","11,624","11,624","11,624","11,624","11,624","11,624","24,040","12,416","12,416","12,416","12,416","12,416","12,416",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8003006,"Colima","2023","20,472","20,472","20,472","20,472","20,472","20,472","20,472","20,472","8,405","8,405","8,405","8,405","8,405","8,405","20,472","12,062","12,062","12,062","12,062","12,062","12,062",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8003007,"Chiapas","2023","81,316","81,316","81,316","81,316","81,316","81,316","81,316","81,316","42,517","42,517","42,517","42,517","42,517","42,517","81,316","38,797","38,797","38,797","38,797","38,797","38,797",
"C._Total_de_personal_laborando_en_la_AP_federal_y_estatal",	8003008,"Chihuahua","2023","80,227","80,227","80,227","80,227","80,227","80,227","80,227","80,227","32,989","32,989","32,989","32,989","32,989","32,989","80,227","47,233","47,233","47,233","47,233","47,233","47,233",
