"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	00,"Estados_Unidos_Mexicanos","2025","19,364,266","9,521,735","9,842,531",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	01,"Aguascalientes","2025","342,664","174,076","168,588",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	02,"Baja_California","2025","406,923","220,321","186,602",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	03,"Baja_California_Sur","2025","111,856","59,416","52,440",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	04,"Campeche","2025","162,447","85,274","77,173",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	05,"Coahuila_de_Zaragoza","2025","501,451","256,100","245,351",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	06,"Colima","2025","117,126","58,237","58,889",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	07,"Chiapas","2025","366,974","210,615","156,359",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	08,"Chihuahua","2025","518,045","269,268","248,777",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	09,"Ciudad_de_México","2025","2,321,282","1,145,971","1,175,311",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	10,"Durango","2025","340,847","169,901","170,946",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	11,"Guanajuato","2025","727,124","361,257","365,867",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	12,"Guerrero","2025","444,414","215,167","229,247",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	13,"Hidalgo","2025","483,884","214,324","269,560",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	14,"Jalisco","2025","1,315,768","610,749","705,019",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	15,"México","2025","2,918,254","1,487,613","1,430,641",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	16,"Michoacán_de_Ocampo","2025","489,647","240,527","249,120",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	17,"Morelos","2025","270,828","135,082","135,746",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	18,"Nayarit","2025","131,629","57,487","74,142",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	19,"Nuevo_León","2025","888,982","439,692","449,290",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	20,"Oaxaca","2025","576,732","269,438","307,294",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	21,"Puebla","2025","782,482","332,994","449,488",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	22,"Querétaro","2025","559,435","276,131","283,304",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	23,"Quintana_Roo","2025","300,855","152,465","148,390",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	24,"San_Luis_Potosí","2025","518,997","251,390","267,607",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	25,"Sinaloa","2025","639,755","312,955","326,800",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	26,"Sonora","2025","604,436","260,772","343,664",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	27,"Tabasco","2025","346,985","159,284","187,701",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	28,"Tamaulipas","2025","387,467","185,490","201,977",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	29,"Tlaxcala","2025","245,069","116,839","128,230",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	30,"Veracruz_de_Ignacio_de_la_Llave","2025","856,375","457,521","398,854",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	31,"Yucatán","2025","521,336","251,000","270,336",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	32,"Zacatecas","2025","164,197","84,379","79,818",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	00,"Estados_Unidos_Mexicanos","2024","17,739,654","8,787,212","8,952,442",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	01,"Aguascalientes","2024","346,043","169,528","176,515",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	02,"Baja_California","2024","627,840","306,923","320,917",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	03,"Baja_California_Sur","2024","105,390","51,870","53,520",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	04,"Campeche","2024","141,783","71,819","69,964",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	05,"Coahuila_de_Zaragoza","2024","511,094","260,363","250,731",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	06,"Colima","2024","114,938","65,318","49,620",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	07,"Chiapas","2024","348,810","185,205","163,605",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	08,"Chihuahua","2024","498,275","248,116","250,159",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	09,"Ciudad_de_México","2024","2,172,513","1,044,445","1,128,068",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	10,"Durango","2024","187,018","86,718","100,300",
"Población_de_18_años_y_más_que_identifica_a_los_jueces",	11,"Guanajuato","2024","759,707","361,368","398,339",
