"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	00,"Estados_Unidos_Mexicanos","2023","23,852,061","11,318,360","12,533,701",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	01,"Aguascalientes","2023","326,658","159,368","167,290",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	02,"Baja_California","2023","1,033,803","502,426","531,377",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	03,"Baja_California_Sur","2023","91,076","45,397","45,679",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	04,"Campeche","2023","130,253","63,506","66,747",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	05,"Coahuila_de_Zaragoza","2023","834,203","397,248","436,955",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	06,"Colima","2023","182,643","95,725","86,918",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	07,"Chiapas","2023","322,014","154,984","167,030",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	08,"Chihuahua","2023","988,040","469,574","518,466",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	09,"Ciudad_de_México","2023","3,509,893","1,642,852","1,867,041",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	10,"Durango","2023","361,081","176,230","184,851",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	11,"Guanajuato","2023","1,210,440","548,431","662,009",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	12,"Guerrero","2023","91,572","38,295","53,277",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	13,"Hidalgo","2023","200,011","90,279","109,732",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	14,"Jalisco","2023","1,760,987","810,746","950,241",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	15,"México","2023","4,323,042","2,099,580","2,223,462",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	16,"Michoacán_de_Ocampo","2023","496,783","218,165","278,618",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	17,"Morelos","2023","415,903","200,075","215,828",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	18,"Nayarit","2023","186,813","80,539","106,274",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	19,"Nuevo_León","2023","1,551,144","747,230","803,914",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	20,"Oaxaca","2023","236,721","112,159","124,562",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	21,"Puebla","2023","895,573","444,770","450,803",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	22,"Querétaro","2023","443,997","219,477","224,520",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	23,"Quintana_Roo","2023","368,871","192,491","176,380",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	24,"San_Luis_Potosí","2023","387,216","178,382","208,834",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	25,"Sinaloa","2023","502,964","238,230","264,734",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_drenaje_y_alcantarillado",	26,"Sonora","2023","622,379","282,016","340,363",
