"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	00,"Estados_Unidos_Mexicanos","2023","22,782,030","11,055,172","11,726,858",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	01,"Aguascalientes","2023","431,807","217,601","214,206",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	02,"Baja_California","2023","781,165","397,537","383,628",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	03,"Baja_California_Sur","2023","97,907","53,010","44,897",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	04,"Campeche","2023","154,794","78,730","76,064",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	05,"Coahuila_de_Zaragoza","2023","908,221","476,788","431,433",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	06,"Colima","2023","167,252","84,588","82,664",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	07,"Chiapas","2023","291,931","139,401","152,530",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	08,"Chihuahua","2023","948,078","469,102","478,976",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	09,"Ciudad_de_México","2023","3,843,921","1,800,178","2,043,743",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	10,"Durango","2023","317,779","152,821","164,958",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	11,"Guanajuato","2023","1,153,545","550,156","603,389",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	12,"Guerrero","2023","77,046","34,800","42,246",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	13,"Hidalgo","2023","178,233","80,673","97,560",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	14,"Jalisco","2023","1,502,556","716,600","785,956",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	15,"México","2023","3,492,808","1,734,955","1,757,853",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	16,"Michoacán_de_Ocampo","2023","403,044","184,465","218,579",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	17,"Morelos","2023","308,539","156,362","152,177",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	18,"Nayarit","2023","150,905","63,479","87,426",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	19,"Nuevo_León","2023","1,739,109","843,561","895,548",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	20,"Oaxaca","2023","202,843","89,240","113,603",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	21,"Puebla","2023","757,868","363,433","394,435",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	22,"Querétaro","2023","516,651","256,001","260,650",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	23,"Quintana_Roo","2023","362,807","188,771","174,036",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	24,"San_Luis_Potosí","2023","513,280","254,170","259,110",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	25,"Sinaloa","2023","465,427","222,065","243,362",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	26,"Sonora","2023","614,791","300,234","314,557",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	27,"Tabasco","2023","102,843","52,445","50,398",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	28,"Tamaulipas","2023","748,303","365,710","382,593",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	29,"Tlaxcala","2023","218,013","107,059","110,954",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","850,949","378,171","472,778",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	31,"Yucatán","2023","334,778","173,032","161,746",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	32,"Zacatecas","2023","144,837","70,034","74,803",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	00,"Estados_Unidos_Mexicanos","2021","20,761,611","10,331,555","10,430,056",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	01,"Aguascalientes","2021","418,983","197,726","221,257",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	02,"Baja_California","2021","684,110","378,415","305,695",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	03,"Baja_California_Sur","2021","63,959","31,160","32,799",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	04,"Campeche","2021","113,550","60,540","53,010",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	05,"Coahuila_de_Zaragoza","2021","924,904","465,822","459,082",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_alumbrado_público",	06,"Colima","2021","135,921","65,408","70,513",
