"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	00,"Estados_Unidos_Mexicanos","2023","38,152,521","17,780,836","20,371,685",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	01,"Aguascalientes","2023","550,190","265,027","285,163",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	02,"Baja_California","2023","1,730,386","832,985","897,401",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	03,"Baja_California_Sur","2023","185,597","90,530","95,067",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	04,"Campeche","2023","287,987","134,529","153,458",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	05,"Coahuila_de_Zaragoza","2023","1,438,620","672,477","766,143",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	06,"Colima","2023","271,447","136,065","135,382",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	07,"Chiapas","2023","609,833","293,873","315,960",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	08,"Chihuahua","2023","1,606,994","733,157","873,837",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	09,"Ciudad_de_México","2023","5,679,804","2,584,020","3,095,784",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	10,"Durango","2023","615,051","280,282","334,769",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	11,"Guanajuato","2023","1,791,359","832,204","959,155",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	12,"Guerrero","2023","117,839","49,306","68,533",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	13,"Hidalgo","2023","308,881","133,419","175,462",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	14,"Jalisco","2023","2,396,672","1,134,657","1,262,015",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	15,"México","2023","6,118,598","2,839,428","3,279,170",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	16,"Michoacán_de_Ocampo","2023","347,287","154,140","193,147",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	17,"Morelos","2023","631,730","288,444","343,286",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	18,"Nayarit","2023","282,329","119,569","162,760",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	19,"Nuevo_León","2023","3,350,025","1,618,885","1,731,140",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	20,"Oaxaca","2023","306,243","134,004","172,239",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	21,"Puebla","2023","1,329,793","643,238","686,555",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	22,"Querétaro","2023","810,781","395,369","415,412",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	23,"Quintana_Roo","2023","700,508","354,080","346,428",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	24,"San_Luis_Potosí","2023","661,660","315,934","345,726",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	25,"Sinaloa","2023","857,471","391,645","465,826",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	26,"Sonora","2023","1,175,463","533,778","641,685",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	27,"Tabasco","2023","240,763","108,647","132,116",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	28,"Tamaulipas","2023","1,309,149","592,957","716,192",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	29,"Tlaxcala","2023","320,206","153,096","167,110",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	30,"Veracruz_de_Ignacio_de_la_Llave","2023","1,313,959","583,681","730,278",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	31,"Yucatán","2023","598,404","284,802","313,602",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	32,"Zacatecas","2023","207,492","96,608","110,884",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	00,"Estados_Unidos_Mexicanos","2021","36,165,551","17,128,966","19,036,585",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	01,"Aguascalientes","2021","528,638","243,012","285,626",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	02,"Baja_California","2021","1,561,090","826,004","735,086",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	03,"Baja_California_Sur","2021","126,926","63,529","63,397",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	04,"Campeche","2021","272,650","124,378","148,272",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	05,"Coahuila_de_Zaragoza","2021","1,348,504","654,145","694,359",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	06,"Colima","2021","235,976","111,904","124,072",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	07,"Chiapas","2021","586,052","295,577","290,475",
"Personas_de_18_años_y_más_que_respondieron_estar_satisfechas_y_muy_satisfechas_con_el_servicio_de_recolección_de_basura",	08,"Chihuahua","2021","1,304,661","630,230","674,431",
