"Serie","Periodo","Ingresos_con_respecto_al_PIB|Totales","Ingresos_con_respecto_al_PIB|Petroleros","Ingresos_con_respecto_al_PIB|No_petroleros","Ingresos_con_respecto_al_PIB|Tributarios_no_petroleros",
"Ingresos","2023","7,039,359.7951","1,078,964.1738","5,960,395.621","4,517,180.8584",
"Ingresos","2022","6,602,829.6515","1,481,580.75233","5,121,248.8992","3,808,707.1658",
"Ingresos","2021","5,960,944.6206","1,156,487.01771","4,804,457.6028","3,566,748.2996",
"Ingresos","2020","5,339,990.4649","605,859.2779","4,734,131.1872","3,338,875.5422",
"Ingresos","2019","5,384,984.2762","955,697.58642","4,429,286.6898","3,202,623.7082",
"Ingresos","2018","5,115,111.0896","978,368.68564","4,136,742.4039","3,062,334.2143",
"Ingresos","2017","4,947,608.3407","827,149.97024","4,120,458.3704","2,855,056.9418",
"Ingresos","2016","4,845,530.3298","789,147.9808","4,056,382.3491","2,715,997.9678",
"Ingresos","2015","4,266,989.5316","843,433.66678","3,423,555.865","2,361,233.5944",
"Ingresos","2014","3,983,056.107","1,221,163.88429","2,761,892.2235","1,807,813.7524",
"Ingresos","2013","3,800,415.617","1,344,487.57249","2,455,928.0444","1,561,751.5615",
"Ingresos","2012","3,514,529.531","1,386,406.39759","2,128,123.1352","1,314,439.59027",
"Ingresos","2011","3,271,080.116","1,244,539.6114","2,026,540.5041","1,294,054.14384",
"Ingresos","2010","2,960,443.033","1,026,895.19614","1,933,547.8403","1,260,425.04581",
"Ingresos","2009","2,817,185.529","870,040.17588","1,947,145.3527","1,129,552.5524",
"Ingresos","2008","2,860,926.418","1,267,794.472","1,593,131.9459","994,552.29592",
"Ingresos","2007","2,485,785.004","925,283.781","1,560,501.223","1,002,670.031",
"Ingresos","2006","2,263,602.567","901,887.421","1,361,715.146","890,078.153",
"Ingresos","2005","1,947,816.209","709,032.312","1,238,783.897","810,510.933",
"Ingresos","2004","1,771,314.183","584,759.69","1,186,554.493","769,385.789",
"Ingresos","2003","1,600,286.338","444,378.3","1,155,908.038","768,045.327",
"Ingresos","2002","1,387,235.487","297,816.243","1,089,419.244","728,283.774",
"Ingresos","2001","1,271,376.619","299,390.487","971,986.132","654,870.334",
"Ingresos","2000","1,178,813.141","319,287.311","859,525.83","581,703.41689",
"Ingresos","1999","954,816.51","199,653.433","755,163.077","521,682.406",
"Ingresos","1998","781,947.613","171,249.399","610,698.214","404,225.203",
"Ingresos","1997","734,664.677","214,588.494","520,076.183","312,115.33",
"Ingresos","1996","578,981.351","186,187.54","392,793.811","226,006.204",
"Ingresos","1995","418,375.484","121,575.917","296,799.567","170,305.668",
