"Periodo","Ingresos_tributarios_del_sector_público",
"2020","3,338,875.5422",
"2019","3,202,623.7082",
"2018","3,062,334.2143",
"2017","2,855,056.92418",
"2016","2,715,997.919089",
"2015","2,361,233.594544",
"2014","1,807,813.752201",
"2013","1,561,751.543611",
"2012","1,314,439.590224",
"2011","1,294,054.143855",
"2010","1,260,424.935",
"2009","1,129,552.54286381",
"2008","994,552.267",
"2007","1,002,670.045",
"2006","890,078.1",
"2005","810,510.9",
"2004","769,385.7",
"2003","768,045.3",
"2002","728,283.7",
"2001","654,870.2",
"2000","581,703.3",
"1999","521,682.391",
"1998","404,225.2",
"1997","312,115.3",
"1996","226,006.2",
"1995","170,305.7",
"1994","160,317.4",
"1993","143,154.3",
"1992","126,763.7",
"1991","103,716.9",
"1990","80,545.4",
