"Periodo","Gasto_neto_presupuestario_del_sector_público",
"2020","5,995,025.7526",
"2019","5,792,623.9459",
"2018","5,589,351.3205",
"2017","5,182,638.4406",
"2016","5,347,754.556",
"2015","4,892,875.893",
"2014","4,528,045.241",
"2013","4,178,321.913",
"2012","3,920,304.952",
"2011","3,631,315.936",
"2010","3,333,948.374",
"2009","3,088,876.817",
"2008","2,872,608.428",
"2007","2,482,503.515",
"2006","2,255,221.251",
"2005","1,958,012.068",
"2004","1,792,296.736",
"2003","1,648,243.078",
"2002","1,459,951.062",
"2001","1,311,669.785",
"2000","1,239,266.31",
"1999","1,007,667.258",
"1998","829,511.264",
"1997","754,199.193",
"1996","582,241.608",
"1995","421,549.884",
"1994","326,250.68",
"1993","282,066.411",
"1992","249,287.323",
"1991","227,933.15",
"1990","204,215.324",
