"Periodo","Trimestral","Ingresos_por_remesas",
"2025","4","16,067.05",
"2025","3","16,150.73",
"2025","2","15,305.01",
"2025","1","14,253.73",
"2024","4","16,386.6",
"2024","3","17,033.29",
"2024","2","17,243.85",
"2024","1","14,082.64",
"2023","4","16,227.92",
"2023","3","16,853.28",
"2023","2","16,267.15",
"2023","1","13,970.32",
"2022","4","15,637.55",
"2022","3","15,581.57",
"2022","2","15,073.05",
"2022","1","12,575.67",
"2021","4","14,311.19",
"2021","3","13,828.99",
"2021","2","13,450.41",
"2021","1","10,932",
"2020","4","10,964.43",
"2020","3","10,957.17",
"2020","2","10,155.1",
"2020","1","9,627.24",
"2019","4","9,442.28",
"2019","3","10,040.73",
"2019","2","9,695.38",
"2019","1","8,072.1",
"2018","4","9,142.27",
"2018","3","8,687.42",
"2018","2","9,273.28",
"2018","1","7,332.14",
"2017","4","8,171.99",
"2017","3","7,892.51",
"2017","2","7,813.08",
"2017","1","7,065.34",
"2016","4","7,116.41",
"2016","3","7,066.43",
"2016","2","7,112.9",
"2016","1","6,335.41",
"2015","4","6,317.35",
"2015","3","6,695.66",
"2015","2","6,493.48",
"2015","1","5,870.01",
"2014","4","6,213.58",
"2014","3","6,123.85",
"2014","2","6,386.83",
"2014","1","5,677.59",
"2013","4","5,689.01",
"2013","3","5,859.96",
"2013","2","6,294.51",
"2013","1","5,246.56",
"2012","4","5,384.54",
"2012","3","5,628.45",
"2012","2","6,701.02",
"2012","1","5,572.26",
"2011","4","5,670.48",
"2011","3","6,347.02",
"2011","2","6,266.33",
"2011","1","5,263.52",
"2010","4","5,230.76",
"2010","3","5,734.79",
"2010","2","6,023.05",
"2010","1","5,002.75",
"2009","4","4,942.79",
"2009","3","5,591.7",
"2009","2","5,861.14",
"2009","1","5,728.1",
"2008","4","6,447.51",
"2008","3","6,685.54",
"2008","2","7,122.06",
"2008","1","5,930.11",
"2007","4","6,563.39",
"2007","3","7,268.52",
"2007","2","6,947.8",
"2007","1","5,916.23",
"2006","4","6,218.05",
"2006","3","6,666.89",
"2006","2","6,947.56",
"2006","1","5,734.33",
"2005","4","5,681.37",
"2005","3","5,785.51",
"2005","2","5,733.86",
"2005","1","4,487.52",
"2004","4","4,601.22",
"2004","3","5,028.02",
"2004","2","4,968.64",
"2004","1","3,733.86",
"2003","4","3,935.8",
"2003","3","4,128.12",
"2003","2","3,904.65",
"2003","1","3,170.13",
"2002","4","2,509.12",
"2002","3","2,552.81",
"2002","2","2,578.08",
"2002","1","2,174.44",
"2001","4","2,245.68",
"2001","3","2,357.98",
"2001","2","2,280.89",
"2001","1","2,010.71",
"2000","4","1,809.49",
"2000","3","1,734.21",
"2000","2","1,631.16",
"2000","1","1,397.88",
"1999","4","1,564.25",
"1999","3","1,529.25",
"1999","2","1,562.67",
"1999","1","1,253.39",
"1998","4","1,529.64",
"1998","3","1,457.22",
"1998","2","1,463.86",
"1998","1","1,176.12",
"1997","4","1,144.85",
"1997","3","1,302.06",
"1997","2","1,365.79",
"1997","1","1,052.15",
"1996","4","1,019.76",
"1996","3","1,098.99",
"1996","2","1,172.17",
"1996","1","932.75",
