"Periodo","Trimestral","PIB_Promedio_trimestral_no_anualizado",
"2025","4","495,838.57",
"2025","3","472,465.45",
"2025","2","452,069.98",
"2025","1","419,099.05",
"2024","4","431,749.43",
"2024","3","445,735.84",
"2024","2","485,116.19",
"2024","1","470,461.65",
"2023","4","472,900.59",
"2023","3","470,388.02",
"2023","2","447,314.31",
"2023","1","409,014.19",
"2022","4","393,744.38",
"2022","3","367,292.01",
"2022","2","366,848.89",
"2022","1","340,725.09",
"2021","4","335,449.25",
"2021","3","332,122.92",
"2021","2","332,933.3",
"2021","1","315,627.05",
"2020","4","315,886.61",
"2020","3","274,557.2",
"2020","2","222,877.71",
"2020","1","316,469.2",
"2019","4","333,972.75",
"2019","3","323,826.88",
"2019","2","327,245.08",
"2019","1","319,506.77",
"2018","4","316,401.57",
"2018","3","319,904.39",
"2018","2","310,606.89",
"2018","1","309,454.94",
"2017","4","308,973.17",
"2017","3","314,530.93",
"2017","2","301,087.54",
"2017","1","269,650.7",
"2016","4","277,346.33",
"2016","3","278,866.16",
"2016","2","283,964.92",
"2016","1","270,435.88",
"2015","4","297,961.97",
"2015","3","295,952.74",
"2015","2","311,387.62",
"2015","1","307,571.11",
"2014","4","340,379.36",
"2014","3","347,115.79",
"2014","2","347,043.59",
"2014","1","328,804.68",
"2013","4","337,131.19",
"2013","3","328,597.06",
"2013","2","337,104.43",
"2013","1","324,538.24",
"2012","4","329,215.49",
"2012","3","314,909.35",
"2012","2","302,279.35",
"2012","1","310,024.36",
"2011","4","299,215.56",
"2011","3","311,398.37",
"2011","2","318,174.89",
"2011","1","300,257.68",
"2010","4","295,030.55",
"2010","3","274,382.26",
"2010","2","275,566.56",
"2010","1","261,492.95",
"2009","4","257,680.55",
"2009","3","242,955.92",
"2009","2","234,102.48",
"2009","1","211,505.89",
"2008","4","249,295.06",
"2008","3","318,221.31",
"2008","2","317,794.91",
"2008","1","284,605.36",
"2007","4","290,363.44",
"2007","3","276,607.61",
"2007","2","276,302.84",
"2007","1","259,267.93",
"2006","4","263,050.93",
"2006","3","256,819.39",
"2006","2","251,170.99",
"2006","1","249,014.73",
"2005","4","243,372.24",
"2005","3","234,775.43",
"2005","2","229,245.34",
"2005","1","211,316.02",
"2004","4","213,468.72",
"2004","3","203,351.48",
"2004","2","203,689.99",
"2004","1","198,796.37",
"2003","4","189,471.36",
"2003","3","191,482.58",
"2003","2","197,475.73",
"2003","1","186,949.27",
"2002","4","198,786.39",
"2002","3","201,358.27",
"2002","2","209,371.63",
"2002","1","200,573.07",
"2001","4","201,974.15",
"2001","3","203,043.35",
"2001","2","203,073.34",
"2001","1","188,786.08",
"2000","4","190,029.2",
"2000","3","191,655.43",
"2000","2","181,613.82",
"2000","1","178,734.73",
"1999","4","168,586.77",
"1999","3","164,480.74",
"1999","2","157,031.77",
"1999","1","142,207.52",
"1998","4","135,611.41",
"1998","3","136,399.94",
"1998","2","144,129.71",
"1998","1","141,301.69",
"1997","4","141,072.1",
"1997","3","134,506.9",
"1997","2","128,130.74",
"1997","1","119,406.45",
"1996","4","115,738.12",
"1996","3","109,468.79",
"1996","2","106,399.12",
"1996","1","100,167.78",
