"Periodo","Trimestral","Volumen_de_las_remesas_(en_dólares_de_los_Estados_Unidos)_como_proporción_del_PIB_total",
"2025","4","3.24037914078397",
"2025","3","3.41839486704901",
"2025","2","3.3855390075889",
"2025","1","3.40104093672508",
"2024","4","3.79539524700594",
"2024","3","3.82138755445553",
"2024","2","3.55458091950406",
"2024","1","2.99336672320546",
"2023","4","3.43157066535906",
"2023","3","3.58284731135742",
"2023","2","3.63662729101713",
"2023","1","3.41560658220745",
"2022","4","3.9714973921864",
"2022","3","4.24228318807597",
"2022","2","4.10878914136341",
"2022","1","3.69085398981982",
"2021","4","4.26627641407955",
"2021","3","4.16381700476345",
"2021","2","4.03997174744743",
"2021","1","3.46358266506321",
"2020","4","3.47100030414397",
"2020","3","3.99085008835756",
"2020","2","4.55635601001439",
"2020","1","3.04207787265455",
"2019","4","2.82726191902285",
"2019","3","3.10064700940517",
"2019","2","2.96272617646609",
"2019","1","2.52642449490518",
"2018","4","2.88945296827449",
"2018","3","2.71563070691391",
"2018","2","2.98553659091764",
"2018","1","2.36937172373795",
"2017","4","2.64488684957157",
"2017","3","2.50929505460772",
"2017","2","2.59495212908116",
"2017","1","2.62018117060403",
"2016","4","2.56589246782259",
"2016","3","2.53398726770032",
"2016","2","2.50485064625254",
"2016","1","2.34266443760031",
"2015","4","2.12018729602853",
"2015","3","2.26240880338748",
"2015","2","2.08533809581043",
"2015","1","1.90850515766638",
"2014","4","1.82548790005275",
"2014","3","1.76420897853649",
"2014","2","1.84035265178352",
"2014","1","1.72673591587718",
"2013","4","1.68747764939445",
"2013","3","1.78332720948478",
"2013","2","1.86722727191106",
"2013","1","1.61662220803391",
"2012","4","1.63556679637341",
"2012","3","1.78732283967409",
"2012","2","2.21683119510579",
"2012","1","1.79736297298849",
"2011","4","1.89511461896316",
"2011","3","2.03823218160865",
"2011","2","1.96945933593142",
"2011","1","1.75300133091151",
"2010","4","1.77295471888457",
"2010","3","2.0900714455085",
"2010","2","2.18569525229544",
"2010","1","1.91314935419072",
"2009","4","1.91818374004174",
"2009","3","2.30153069618061",
"2009","2","2.50366379913147",
"2009","1","2.7082440250685",
"2008","4","2.58629628962916",
"2008","3","2.10090991997376",
"2008","2","2.24108601640568",
"2008","1","2.08362451337866",
"2007","4","2.26040604162087",
"2007","3","2.62773537827583",
"2007","2","2.51455821357175",
"2007","1","2.28189857620395",
"2006","4","2.36382035985639",
"2006","3","2.59594459338947",
"2006","2","2.76606909545053",
"2006","1","2.30280825395626",
"2005","4","2.33443769913922",
"2005","3","2.46427578445375",
"2005","2","2.50118954529267",
"2005","1","2.1236075203602",
"2004","4","2.15545610959459",
"2004","3","2.47257835846158",
"2004","2","2.43931359110373",
"2004","1","1.87823406937063",
"2003","4","2.07725099835961",
"2003","3","2.15587064858779",
"2003","2","1.97727962793485",
"2003","1","1.69571498657784",
"2002","4","1.26222023523494",
"2002","3","1.26779550044951",
"2002","2","1.23134162663899",
"2002","1","1.08411113745148",
"2001","4","1.11186685962678",
"2001","3","1.16131992048798",
"2001","2","1.12318368291136",
"2001","1","1.06507361905888",
"2000","4","0.952218815213857",
"2000","3","0.904857549640463",
"2000","2","0.89814635449592",
"2000","1","0.782099103054317",
"1999","4","0.927860154637993",
"1999","3","0.929742138935714",
"1999","2","0.995128169960915",
"1999","1","0.881381736724038",
"1998","4","1.12795617178871",
"1998","3","1.06834591015474",
"1998","2","1.01565217059835",
"1998","1","0.832350129474538",
"1997","4","0.81153809710821",
"1997","3","0.968021937031609",
"1997","2","1.06593286836404",
"1997","1","0.88114736373608",
"1996","4","0.881095610031489",
"1996","3","1.00393038827339",
"1996","2","1.10167708308538",
"1996","1","0.931190960456799",
