"Serie","Periodo","Trimestral","Suscripciones_de_banda_ancha_fija|Entre_256_Kbps_y_menor_a_2_Mbps","Suscripciones_de_banda_ancha_fija|Igual_o_mayor_a_2_Mbps_y_menor_a_10_Mbps","Suscripciones_de_banda_ancha_fija|Igual_o_superior_a_10_Mbps",
"Total_de_accesos_del_servicio_fijo_de_Internet","2024","4","ND","ND","ND",
"Total_de_accesos_del_servicio_fijo_de_Internet","2024","3","5,607","745,280","27,038,296",
"Total_de_accesos_del_servicio_fijo_de_Internet","2024","2","2,988","809,042","26,406,297",
"Total_de_accesos_del_servicio_fijo_de_Internet","2024","1","2,995","849,238","26,176,963",
"Total_de_accesos_del_servicio_fijo_de_Internet","2023","4","2,874","1,208,386","20,410,532",
"Total_de_accesos_del_servicio_fijo_de_Internet","2023","3","3,563","941,812","24,912,095",
"Total_de_accesos_del_servicio_fijo_de_Internet","2023","2","45,943","1,470,417","24,664,571",
"Total_de_accesos_del_servicio_fijo_de_Internet","2023","1","3,095","1,160,548","24,714,096",
"Total_de_accesos_del_servicio_fijo_de_Internet","2022","4","3,038","1,186,510","24,103,537",
"Total_de_accesos_del_servicio_fijo_de_Internet","2022","3","2,073","1,099,905","19,573,039",
"Total_de_accesos_del_servicio_fijo_de_Internet","2022","2","10,391","4,398,973","20,260,014",
"Total_de_accesos_del_servicio_fijo_de_Internet","2022","1","3,612","1,297,837","19,542,871",
"Total_de_accesos_del_servicio_fijo_de_Internet","2021","4","124,352","1,599,808","22,478,767",
"Total_de_accesos_del_servicio_fijo_de_Internet","2021","3","124,705","1,595,420","22,059,284",
"Total_de_accesos_del_servicio_fijo_de_Internet","2021","2","225,270","1,645,200","21,384,233",
"Total_de_accesos_del_servicio_fijo_de_Internet","2021","1","231,184","1,414,627","20,252,446",
"Total_de_accesos_del_servicio_fijo_de_Internet","2020","4","243,028","1,331,858","20,478,069",
"Total_de_accesos_del_servicio_fijo_de_Internet","2020","3","247,144","1,245,703","19,960,382",
"Total_de_accesos_del_servicio_fijo_de_Internet","2020","2","258,567","1,085,027","19,216,667",
"Total_de_accesos_del_servicio_fijo_de_Internet","2020","1","270,749","961,984","18,623,387",
"Total_de_accesos_del_servicio_fijo_de_Internet","2019","4","279,970","1,025,000","17,863,937",
"Total_de_accesos_del_servicio_fijo_de_Internet","2019","3","282,136","1,090,125","17,619,869",
"Total_de_accesos_del_servicio_fijo_de_Internet","2019","2","305,033","1,163,345","17,159,011",
"Total_de_accesos_del_servicio_fijo_de_Internet","2019","1","303,419","1,218,640","16,834,477",
"Total_de_accesos_del_servicio_fijo_de_Internet","2018","4","319,193","1,989,430","15,892,689",
"Total_de_accesos_del_servicio_fijo_de_Internet","2018","3","327,738","1,409,286","16,204,600",
"Total_de_accesos_del_servicio_fijo_de_Internet","2018","2","346,709","2,279,584","15,102,385",
"Total_de_accesos_del_servicio_fijo_de_Internet","2018","1","361,850","2,287,912","14,807,795",
"Total_de_accesos_del_servicio_fijo_de_Internet","2017","4","384,822","2,397,996","14,217,593",
"Total_de_accesos_del_servicio_fijo_de_Internet","2017","3","411,119","2,569,493","13,659,725",
"Total_de_accesos_del_servicio_fijo_de_Internet","2017","2","438,022","2,515,230","13,409,166",
"Total_de_accesos_del_servicio_fijo_de_Internet","2017","1","530,741","2,963,106","12,590,316",
"Total_de_accesos_del_servicio_fijo_de_Internet","2016","4","580,002","2,837,964","12,505,035",
"Total_de_accesos_del_servicio_fijo_de_Internet","2016","3","592,644","2,709,171","12,230,790",
"Total_de_accesos_del_servicio_fijo_de_Internet","2016","2","675,925","3,140,741","11,246,928",
"Total_de_accesos_del_servicio_fijo_de_Internet","2016","1","718,113","3,123,622","11,003,632",
"Total_de_accesos_del_servicio_fijo_de_Internet","2015","4","777,876","3,046,693","10,772,319",
"Total_de_accesos_del_servicio_fijo_de_Internet","2015","3","375,854","3,955,959","9,850,589",
"Total_de_accesos_del_servicio_fijo_de_Internet","2015","2","404,885","9,628,042","3,633,315",
"Total_de_accesos_del_servicio_fijo_de_Internet","2015","1","547,207","11,189,864","1,482,154",
"Total_de_accesos_del_servicio_fijo_de_Internet","2014","4","632,579","10,681,806","1,504,543",
"Total_de_accesos_del_servicio_fijo_de_Internet","2014","3","658,183","11,310,373","1,310,138",
"Total_de_accesos_del_servicio_fijo_de_Internet","2014","2","655,303","11,059,905","1,265,001",
"Total_de_accesos_del_servicio_fijo_de_Internet","2014","1","648,176","10,884,187","1,217,572",
