"Periodo","Trimestral","Población_estimada_de_cada_trimestre",
"2024","3","132,460,876",
"2024","2","132,181,183",
"2024","1","131,901,489",
"2023","4","131,618,413",
"2023","3","131,328,570",
"2023","2","131,038,727",
"2023","1","130,748,884",
"2022","4","130,456,481",
"2022","3","130,158,955",
"2022","2","129,861,429",
"2022","1","129,563,903",
"2021","4","129,301,784",
"2021","3","129,110,481",
"2021","2","128,919,178",
"2021","1","128,727,874",
"2020","4","128,341,708",
"2020","3","127,565,813",
"2020","2","126,789,918",
"2020","1","126,014,024",
"2019","4","125,691,102",
"2019","3","125,368,181",
"2019","2","125,041,711",
"2019","1","124,715,241",
"2018","4","124,395,868",
"2018","3","124,072,946",
"2018","2","123,746,476",
"2018","1","123,420,006",
"2017","4","123,100,633",
"2017","3","122,777,711",
"2017","2","122,451,241",
"2017","1","122,124,771",
"2016","4","121,805,398",
"2016","3","121,482,477",
"2016","2","121,156,006",
"2016","1","120,829,536",
"2015","4","120,506,615",
"2015","3","120,183,693",
"2015","2","119,857,223",
"2015","1","119,530,753",
"2014","4","120,531,242",
"2014","3","120,172,963",
"2014","2","119,810,747",
"2014","1","119,448,531",
