"Serie","Periodo","Uso_de_internet|Total","Uso_de_internet|Dentro_del_hogar","Uso_de_internet|Fuera_del_hogar",
"Usuarios_de_Internet","2024","100,249,527","95,369,098","4,880,429",
"Usuarios_de_Internet","2023","97,012,089","92,400,472","4,611,617",
"Usuarios_de_Internet","2022","93,052,870","88,748,964","4,303,906",
"Usuarios_de_Internet","2021","88,562,249","84,350,593","4,211,656",
"Usuarios_de_Internet","2020","82,978,847","77,844,301","5,134,546",
"Usuarios_de_Internet","2019","79,489,450","70,810,296","8,679,154",
"Usuarios_de_Internet","2018","73,142,199","63,247,080","9,895,119",
"Usuarios_de_Internet","2017","70,289,609","58,505,794","11,783,815",
"Usuarios_de_Internet","2016","65,520,817","52,063,267","13,457,550",
"Usuarios_de_Internet","2015","62,448,892","44,299,642","18,149,250",
"Usuarios_de_Internet","2014","47,441,244","26,968,578","20,472,666",
"Usuarios_de_Internet","2013","46,026,450","25,719,202","20,307,248",
"Usuarios_de_Internet","2012","40,916,394","21,267,017","19,649,377",
"Usuarios_de_Internet","2011","37,619,377","18,499,790","19,119,587",
"Usuarios_de_Internet","2010","32,807,240","15,800,846","17,006,394",
"Usuarios_de_Internet","2009","27,206,174","12,508,010","14,698,164",
"Usuarios_de_Internet","2008","22,339,790","8,426,749","13,913,041",
"Usuarios_de_Internet","2007","20,848,040","7,116,782","13,731,258",
"Usuarios_de_Internet","2006","18,517,066","6,210,750","12,306,316",
"Usuarios_de_Internet","2005","16,364,130","5,178,626","11,185,504",
"Usuarios_de_Internet","2004","12,835,946","5,126,131","8,857,361",
"Usuarios_de_Internet","2003","11,883,041","4,504,767","7,378,274",
"Usuarios_de_Internet","2002","10,718,133","3,920,649","6,797,484",
"Usuarios_de_Internet","2001","7,097,172","3,227,788","3,869,384",
"Usuarios_de_Internet","2000","5,057,533","2,568,783","2,488,750",
"Usuarios_de_Internet","1999","1,822,198","478,380","1,343,818",
"Usuarios_de_Internet","1998","1,222,379","297,484","924,895",
"Usuarios_de_Internet","1997","595,684","140,878","454,806",
"Usuarios_de_Internet","1996","186,694","29,159","157,535",
"Usuarios_de_Internet","1995","93,653","10,072","83,581",
"Usuarios_de_Internet","1994","39,104","4,033","35,071",
"Usuarios_de_Internet","1993","25,000","ND","ND",
"Usuarios_de_Internet","1992","15,000","ND","ND",
"Usuarios_de_Internet","1991","5,000","ND","ND",
