"Periodo","Población_estimada_al_cierre_del_año_con_base_al_Censo_Nacional_de_Población_y_Vivienda",
"2024","119,684,696",
"2023","118,508,154",
"2022","117,296,831",
"2021","116,052,807",
"2020","114,778,794",
"2019","113,477,776",
"2018","112,152,002",
"2017","110,801,602",
"2016","109,423,011",
"2015","108,013,023",
"2014","106,564,215",
"2013","105,050,253",
"2012","103,501,240",
"2011","101,904,545",
"2010","100,262,980",
"2009","98,598,588",
"2008","96,909,199",
"2007","95,252,749",
"2006","93,665,739",
"2005","92,174,567",
"2004","90,762,316",
"2003","89,350,702",
"2002","87,910,137",
"2001","86,463,391",
"2000","85,075,506",
"1999","83,702,367",
"1998","82,269,330",
"1997","80,824,070",
"1996","79,378,111",
"1995","77,928,800",
"1994","76,463,118",
"1993","74,978,442",
"1992","73,476,663",
"1991","71,951,229",
