"Serie","Periodo","Uso_de_internet|Total","Uso_de_internet|Dentro_del_hogar","Uso_de_internet|Fuera_del_hogar",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2024","83.76135826","79.6836197","4.077738561",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2023","81.8611089","77.96971675","3.891392148",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2022","79.331103157","75.661859953","3.669243204",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2021","76.31202664","72.68294079","3.629085852",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2020","72.29457996","67.82115257","4.473427382",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2019","70.04847363","62.40014432","7.648329308",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2018","65.21702484","56.39407132","8.822953513",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2017","63.43735806","52.8023","10.63505833",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2016","59.87846286","47.57981573","12.29864713",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2015","57.81607649","41.01324152","16.80283497",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2014","44.51892598","25.30734919","19.21157679",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2013","43.81374503","24.48276065","19.33098438",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2012","39.5322742","20.54759634","18.98467786",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2011","36.91628965","18.15403817","18.76225148",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2010","32.72118982","15.75940192","16.96178789",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2009","27.5928637","12.68579019","14.90707352",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2008","23.05229042","8.695509907","14.35678052",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2007","21.88707436","7.471471506","14.41560285",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2006","19.7693054","6.630759621","13.13854578",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2005","17.75341131","5.6182808","12.13513051",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2004","14.1423738","5.64786271","9.758853002",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2003","13.29932584","5.041669398","8.257656442",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2002","12.19214685","4.459837209","7.732309643",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2001","8.208297081","3.733126775","4.475170306",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","2000","5.94475806","3.019415483","2.925342577",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1999","2.176996978","0.571525056","1.605471922",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1998","1.485825884","0.361597694","1.124228191",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1997","0.73701312","0.174302037","0.562711083",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1996","0.235195821","0.036734308","0.198461513",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1995","0.120177649","0.012924618","0.107253031",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1994","0.051140996","0.005274438","0.045866558",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1993","0.033342917","ND","ND",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1992","0.020414645","ND","ND",
"Proporción_de_personas_que_usan_Internet,_dentro_y_fuera_del_hogar","1991","0.006949152","ND","ND",
