"Periodo","Ingresos_propios_(provenientes_de_impuestos,_contribuciones_de_mejora,_cuotas_y_aportaciones_de_seguridad_social,_derechos,_productos,_aprovechamientos_y_otros_ingresos",
"2024","415,912,337,190",
"2023","395,504,253,946",
"2022","328,660,545,297",
"2021","268,638,692,380",
"2020","238,547,136,946",
"2019","263,098,602,268",
"2018","255,331,918,543",
"2017","250,547,112,088",
"2016","227,864,876,444",
"2015","207,339,735,266",
"2014","215,145,028,879",
"2013","190,458,119,764",
"2012","184,728,416,491",
"2011","150,060,431,140",
"2010","138,617,335,476",
"2009","120,078,218,651",
"2008","122,349,912,375",
