"Periodo","Ingresos_Totales",
"2024","2,880,374,657,559",
"2023","2,769,181,296,439",
"2022","2,423,167,631,754",
"2021","2,189,362,002,725",
"2020","2,195,502,435,206",
"2019","2,144,129,840,944",
"2018","2,157,352,480,745",
"2017","2,018,374,124,263",
"2016","1,829,228,559,146",
"2015","1,744,751,670,622",
"2014","1,700,871,819,560",
"2013","1,583,587,916,101",
"2012","1,435,499,547,796",
"2011","1,374,454,522,003",
"2010","1,235,616,682,071",
"2009","1,150,380,940,066",
"2008","1,057,098,519,213",
