"Periodo","Porcentaje_del_presupuesto_público_que_representa_a)_la_oficina_nacional_de_estadística,_b)_el_sistema_estadístico_nacional,_c)_el_instituto_geográfico_nacional_y_d)_el_sistema_geográfico_nacional",
"2025","0.131641345664023",
"2024","0.15712802529632",
"2023","0.118985878292329",
"2022","0.156813029077148",
"2021","0.12303723909207",
"2020","0.271342928940371",
"2019","0.207769420617607",
"2018","0.147525898394728",
"2017","0.143871122222467",
"2016","0.162126867377265",
"2015","0.181027660026225",
