"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Población_en_situación_de_pobreza",	00,"Estados_Unidos_Mexicanos","2020","55,654.225 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Población_en_situación_de_pobreza",	01,"Aguascalientes","2020","396.461 a/ ","186.325 a/ ","210.136 a/ ","ND b/ ","153.703 a/ ","75.501 a/ ","135.703 a/ ","31.554 a/ ","81.052 a/ ","315.409 a/ ",
"Población_en_situación_de_pobreza",	01001,"Aguascalientes","2020","NA","106.346 a/ ","112.068 a/ ","2.31 c/ ","85.937 a/ ","44.438 a/ ","76.409 a/ ","11.63 a/ ","13.653 c/ ","204.761 a/ ",
"Población_en_situación_de_pobreza",	01002,"Asientos","2020","NA","9.727 a/ ","9.791 a/ ","ND b/ ","8.035 a/ ","3.862 a/ ","6.36 a/ ","1.26 a/ ","11.161 a/ ","8.357 a/ ",
"Población_en_situación_de_pobreza",	01003,"Calvillo","2020","NA","11.783 a/ ","12.182 a/ ","0.105 c/ ","9.436 a/ ","4.137 a/ ","8.332 a/ ","2.061 a/ ","8.383 c/ ","15.583 a/ ",
"Población_en_situación_de_pobreza",	01004,"Cosío","2020","NA","2.817 a/ ","3.088 a/ ","ND b/ ","2.404 a/ ","1.173 a/ ","1.913 a/ ","0.415 a/ ","2.017 c/ ","3.888 a/ ",
"Población_en_situación_de_pobreza",	01005,"Jesús_María","2020","NA","17.136 a/ ","16.571 a/ ","ND b/ ","14.306 a/ ","6.378 a/ ","11.13 a/ ","1.892 a/ ","ND b/ ","28.355 a/ ",
"Población_en_situación_de_pobreza",	01006,"Pabellón_de_Arteaga","2020","NA","6.593 a/ ","6.449 a/ ","ND b/ ","5.317 a/ ","2.753 a/ ","4.124 a/ ","0.849 a/ ","2.648 c/ ","10.394 a/ ",
"Población_en_situación_de_pobreza",	01007,"Rincón_de_Romos","2020","NA","10.575 a/ ","11.238 a/ ","0.346 a/ ","9.348 a/ ","4.465 a/ ","6.655 a/ ","1.344 a/ ","5.282 a/ ","16.531 a/ ",
"Población_en_situación_de_pobreza",	01008,"San_José_de_Gracia","2020","NA","1.963 a/ ","2.248 a/ ","0.03 c/ ","1.807 a/ ","0.858 a/ ","1.337 a/ ","0.209 a/ ","2.009 c/ ","2.202 a/ ",
"Población_en_situación_de_pobreza",	01009,"Tepezalá","2020","NA","3.905 a/ ","3.963 a/ ","0.043 c/ ","3.131 a/ ","1.683 a/ ","2.512 a/ ","0.543 a/ ","3.603 c/ ","4.265 a/ ",
"Población_en_situación_de_pobreza",	01010,"El_Llano","2020","NA","4.104 a/ ","4.092 a/ ","ND b/ ","3.424 a/ ","1.621 a/ ","2.579 a/ ","0.572 a/ ","5.849 a/ ","2.348 a/ ",
"Población_en_situación_de_pobreza",	01011,"San_Francisco_de_los_Romo","2020","NA","10.898 a/ ","10.579 a/ ","0.429 a/ ","9.871 a/ ","4.911 a/ ","6.243 a/ ","0.453 c/ ","ND b/ ","20.218 a/ ",
"Población_en_situación_de_pobreza",	02,"Baja_California","2020","851.7 a/ ","401.668 a/ ","450.032 a/ ","35.929 c/ ","316.948 a/ ","156.702 a/ ","321.063 a/ ","56.987 a/ ","54.554 a/ ","797.146 a/ ",
"Población_en_situación_de_pobreza",	02001,"Ensenada","2020","NA","49.995 a/ ","48.619 a/ ","12.467 a/ ","39.688 a/ ","19.778 a/ ","34.218 a/ ","4.932 c/ ","8.707 c/ ","89.907 a/ ",
"Población_en_situación_de_pobreza",	02002,"Mexicali","2020","NA","104.091 a/ ","104.122 a/ ","2.719 c/ ","77.373 a/ ","41.804 a/ ","77.409 a/ ","11.626 a/ ","15.273 c/ ","192.94 a/ ",
"Población_en_situación_de_pobreza",	02003,"Tecate","2020","NA","11.238 a/ ","11.736 a/ ","0.522 c/ ","9.415 a/ ","4.336 a/ ","8.319 a/ ","0.903 c/ ","ND b/ ","19.924 a/ ",
"Población_en_situación_de_pobreza",	02004,"Tijuana","2020","NA","223.097 a/ ","230.411 a/ ","18.262 a/ ","173.858 a/ ","90.217 a/ ","172.545 a/ ","16.888 a/ ","ND b/ ","451.897 a/ ",
"Población_en_situación_de_pobreza",	02005,"Playas_de_Rosarito","2020","NA","20.407 a/ ","20.389 a/ ","1.343 c/ ","14.712 a/ ","8.216 a/ ","16.048 a/ ","1.82 a/ ","ND b/ ","38.825 a/ ",
