"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	00,"Estados_Unidos_Mexicanos","2020","43.91135478 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01,"Aguascalientes","2020","27.62669287 a/ ","27.14964104 a/ ","28.06393367 a/ ","ND b/ ","35.09633608 a/ ","24.17269642 a/ ","23.6769055 a/ ","28.26558217 a/ ","29.44122978 a/ ","27.19596401 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01001,"Aguascalientes","2020","NA","23.723209 a/ ","23.643528 a/ ","49.360376 c/ ","30.91132 a/ ","22.300045 a/ ","20.044405 a/ ","18.23292 a/ ","23.680018 c/ ","23.682407 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01002,"Asientos","2020","NA","40.392137 a/ ","39.87662 a/ ","ND b/ ","45.494828 a/ ","38.049489 a/ ","36.812694 a/ ","35.55318 a/ ","35.730962 a/ ","48.033554 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01003,"Calvillo","2020","NA","45.147336 a/ ","46.36045 a/ ","52.161918 c/ ","55.699408 a/ ","39.63841 a/ ","42.260355 a/ ","39.002396 a/ ","37.998591 c/ ","51.401223 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01004,"Cosío","2020","NA","36.132708 a/ ","37.906562 a/ ","ND b/ ","40.88629 a/ ","35.263697 a/ ","33.331085 a/ ","41.619103 a/ ","25.506438 c/ ","48.390326 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01005,"Jesús_María","2020","NA","26.83656 a/ ","25.849067 a/ ","ND b/ ","33.026622 a/ ","24.699836 a/ ","21.768773 a/ ","24.606326 a/ ","ND b/ ","31.171295 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01006,"Pabellón_de_Arteaga","2020","NA","29.559857 a/ ","28.290112 a/ ","ND b/ ","35.279084 a/ ","28.95121 a/ ","23.89587 a/ ","26.007838 a/ ","20.575126 c/ ","32.250182 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01007,"Rincón_de_Romos","2020","NA","39.965924 a/ ","41.038462 a/ ","77.059855 a/ ","47.027181 a/ ","37.901463 a/ ","35.779165 a/ ","37.511604 a/ ","31.401134 a/ ","44.650246 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01008,"San_José_de_Gracia","2020","NA","45.452266 a/ ","46.052879 a/ ","75.675676 c/ ","51.360584 a/ ","45.543239 a/ ","42.259336 a/ ","32.953448 a/ ","42.953706 c/ ","48.684885 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01009,"Tepezalá","2020","NA","37.769307 a/ ","37.528201 a/ ","87.748625 c/ ","42.299747 a/ ","35.816448 a/ ","34.590484 a/ ","35.287721 a/ ","27.164304 c/ ","55.859056 a/ ",
"Porcentaje_de_la_población_en_situación_de_pobreza,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01010,"El_Llano","2020","NA","40.334476 a/ ","40.894462 a/ ","ND b/ ","46.81156 a/ ","38.128325 a/ ","36.165085 a/ ","38.537254 a/ ","36.210514 a/ ","58.255846 a/ ",
