"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	00,"Estados_Unidos_Mexicanos","2022","64,680.69 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	01,"Aguascalientes","2022","514.989 a/ ","250.455 a/ ","264.534 a/ ","ND b/ ","186.1 a/ ","134.479 a/ ","178.571 a/ ","15.839 a/ ","167.345 a/ ","347.644 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	02,"Baja_California","2022","1,325.045 a/ ","685.153 a/ ","639.892 a/ ","49.409 c/ ","382.201 a/ ","330.273 a/ ","564.206 a/ ","48.365 a/ ","168.389 a/ ","1,156.656 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	03,"Baja_California_Sur","2022","251.259 a/ ","131.567 a/ ","119.692 a/ ","9.49 c/ ","67.938 a/ ","60.359 a/ ","115.418 a/ ","7.544 a/ ","47.593 a/ ","203.666 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	04,"Campeche","2022","519.555 a/ ","262.127 a/ ","257.428 a/ ","134.67 a/ ","186.156 a/ ","112.231 a/ ","206.103 a/ ","15.065 a/ ","231.289 a/ ","288.266 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	05,"Coahuila_de_Zaragoza","2022","797.526 a/ ","407.838 a/ ","389.688 a/ ","ND b/ ","274.638 a/ ","199.237 a/ ","301.538 a/ ","22.113 a/ ","110.803 a/ ","686.723 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	06,"Colima","2022","277 a/ ","144.115 a/ ","132.885 a/ ","4.721 a/ ","86.643 a/ ","62.248 a/ ","120.749 a/ ","7.36 a/ ","45.663 a/ ","231.337 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	07,"Chiapas","2022","4,437.352 a/ ","2,117.556 a/ ","2,319.796 a/ ","1,486.413 a/ ","1,795.715 a/ ","815.933 a/ ","1,655.607 a/ ","170.097 a/ ","2,707.594 a/ ","1,729.758 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	08,"Chihuahua","2022","1,233.435 a/ ","648.479 a/ ","584.956 a/ ","92.983 a/ ","409.803 a/ ","286.018 a/ ","498.102 a/ ","39.512 a/ ","348.073 a/ ","885.362 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	09,"Ciudad_de_México","2022","3,655.436 a/ ","1,829.237 a/ ","1,826.199 a/ ","159.826 a/ ","896.802 a/ ","885.113 a/ ","1,763.416 a/ ","110.105 a/ ","41.048 a/ ","3,614.388 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	10,"Durango","2022","862.522 a/ ","433.51 a/ ","429.012 a/ ","69.131 a/ ","326.472 a/ ","187.166 a/ ","323.556 a/ ","25.328 a/ ","387.306 a/ ","475.216 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	11,"Guanajuato","2022","3,148.235 a/ ","1,567.314 a/ ","1,580.921 a/ ","23.117 c/ ","1,112.07 a/ ","668.812 a/ ","1,237.793 a/ ","129.56 a/ ","1,314.392 a/ ","1,833.843 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	12,"Guerrero","2022","2,579.164 a/ ","1,244.499 a/ ","1,334.665 a/ ","750.858 a/ ","960.646 a/ ","498.731 a/ ","969.211 a/ ","150.576 a/ ","1,364.853 a/ ","1,214.311 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	13,"Hidalgo","2022","2,065.804 a/ ","994.339 a/ ","1,071.465 a/ ","551.749 a/ ","671.044 a/ ","407.838 a/ ","889.426 a/ ","97.496 a/ ","1,167.449 a/ ","898.355 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	14,"Jalisco","2022","3,568.388 a/ ","1,764 a/ ","1,804.388 a/ ","ND b/ ","1,169.332 a/ ","848.204 a/ ","1,430.681 a/ ","120.171 a/ ","821.276 a/ ","2,747.112 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	15,"México","2022","9,024.819 a/ ","4,450.058 a/ ","4,574.761 a/ ","552.789 a/ ","2,824.874 a/ ","2,023.532 a/ ","3,840.903 a/ ","335.51 a/ ","1,866.997 a/ ","7,157.822 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	16,"Michoacán_de_Ocampo","2022","3,104.794 a/ ","1,479.027 a/ ","1,625.767 a/ ","385.827 a/ ","1,100.277 a/ ","663.329 a/ ","1,219.092 a/ ","122.096 a/ ","1,269.288 a/ ","1,835.506 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	17,"Morelos","2022","1,165.242 a/ ","561.256 a/ ","603.986 a/ ","70.898 a/ ","371.199 a/ ","253.212 a/ ","498.476 a/ ","42.355 a/ ","339.996 a/ ","825.246 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	18,"Nayarit","2022","650.141 a/ ","328.263 a/ ","321.878 a/ ","83.004 a/ ","233.336 a/ ","129.699 a/ ","261.424 a/ ","25.682 a/ ","317.412 a/ ","332.729 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	19,"Nuevo_León","2022","1,646.774 a/ ","830.499 a/ ","816.275 a/ ","55.474 c/ ","479.717 a/ ","444.961 a/ ","676.809 a/ ","45.287 a/ ","215.454 a/ ","1,431.32 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	20,"Oaxaca","2022","3,158.737 a/ ","1,487.636 a/ ","1,671.101 a/ ","1,480.731 a/ ","1,094.763 a/ ","583.255 a/ ","1,270.502 a/ ","210.217 a/ ","1,949.136 a/ ","1,209.601 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	21,"Puebla","2022","4,515.731 a/ ","2,157.469 a/ ","2,358.262 a/ ","936.284 a/ ","1,625.163 a/ ","893.075 a/ ","1,777.853 a/ ","219.64 a/ ","1,735.406 a/ ","2,780.325 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	22,"Querétaro","2022","1,069.502 a/ ","524.918 a/ ","544.584 a/ ","47.664 a/ ","355.754 a/ ","247.318 a/ ","430.043 a/ ","36.387 a/ ","476.694 a/ ","592.808 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	23,"Quintana_Roo","2022","812.983 a/ ","416.968 a/ ","396.015 a/ ","307.927 a/ ","243.01 a/ ","190.266 a/ ","354.053 a/ ","25.654 a/ ","200.59 a/ ","612.393 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	24,"San_Luis_Potosí","2022","1,384.564 a/ ","659.021 a/ ","725.543 a/ ","295.199 a/ ","475.69 a/ ","288.953 a/ ","549.651 a/ ","70.27 a/ ","732.149 a/ ","652.415 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	25,"Sinaloa","2022","1,208.098 a/ ","608.023 a/ ","600.075 a/ ","35.423 a/ ","398.663 a/ ","303.939 a/ ","472.876 a/ ","32.62 a/ ","473.773 a/ ","734.325 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	26,"Sonora","2022","994.571 a/ ","518.231 a/ ","476.34 a/ ","68.505 a/ ","305.999 a/ ","239.93 a/ ","416.408 a/ ","32.234 a/ ","220.423 a/ ","774.148 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	27,"Tabasco","2022","1,423.49 a/ ","700.36 a/ ","723.13 a/ ","155.852 a/ ","478.295 a/ ","285.042 a/ ","608.978 a/ ","51.175 a/ ","788.823 a/ ","634.667 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	28,"Tamaulipas","2022","1,415.612 a/ ","696.103 a/ ","719.509 a/ ","44.259 c/ ","447.144 a/ ","330.529 a/ ","572.349 a/ ","65.59 a/ ","288.079 a/ ","1,127.533 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	29,"Tlaxcala","2022","848.297 a/ ","408.861 a/ ","439.436 a/ ","76.376 a/ ","286.178 a/ ","181.484 a/ ","349.417 a/ ","31.218 a/ ","179.115 a/ ","669.182 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	30,"Veracruz_de_Ignacio_de_la_Llave","2022","4,998.199 a/ ","2,396.966 a/ ","2,601.233 a/ ","920.232 a/ ","1,650.181 a/ ","946.473 a/ ","2,166.158 a/ ","235.387 a/ ","2,521.642 a/ ","2,476.557 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	31,"Yucatán","2022","1,087.849 a/ ","542.176 a/ ","545.673 a/ ","625.355 a/ ","344.705 a/ ","246.051 a/ ","467.991 a/ ","29.102 a/ ","258.1 a/ ","829.749 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	32,"Zacatecas","2022","935.577 a/ ","457.487 a/ ","478.09 a/ ","4.553 c/ ","340.359 a/ ","186.462 a/ ","359.71 a/ ","49.046 a/ ","477.479 a/ ","458.098 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	00,"Estados_Unidos_Mexicanos","2020","65,966.517 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	01,"Aguascalientes","2020","516.367 a/ ","256.22 a/ ","260.147 a/ ","ND b/ ","176.692 a/ ","137.551 a/ ","179.975 a/ ","22.149 a/ ","129.626 a/ ","386.741 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	02,"Baja_California","2020","1,472.481 a/ ","771.187 a/ ","701.294 a/ ","42.892 a/ ","439.758 a/ ","346.103 a/ ","624.577 a/ ","62.043 a/ ","128.328 a/ ","1,344.153 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	03,"Baja_California_Sur","2020","264.506 a/ ","140.9 a/ ","123.606 a/ ","16.005 a/ ","78.204 a/ ","62.751 a/ ","113.085 a/ ","10.466 a/ ","42.911 a/ ","221.595 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	04,"Campeche","2020","512.654 a/ ","255.75 a/ ","256.904 a/ ","168.037 a/ ","169.749 a/ ","116.895 a/ ","205.945 a/ ","20.065 a/ ","187.433 a/ ","325.221 a/ ",
"Población_que_presenta_carencia_por_acceso_a_la_seguridad_social",	05,"Coahuila_de_Zaragoza","2020","895.193 a/ ","457.609 a/ ","437.584 a/ ","ND b/ ","295.769 a/ ","221.202 a/ ","346.99 a/ ","31.232 a/ ","129.042 a/ ","766.151 a/ ",
