"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	00,"Estados_Unidos_Mexicanos","2022","50.1837728312 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	01,"Aguascalientes","2022","34.7069257633 a/ ","35.5074004764 a/ ","33.981620169 a/ ","ND b/ ","38.9225501904 a/ ","45.0310746193 a/ ","30.3661707414 a/ ","13.3103077363 a/ ","46.7213137639 a/ ","30.8839820725 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	02,"Baja_California","2022","34.6686003676 a/ ","36.1655452573 a/ ","33.1973223916 a/ ","48.9721682591 c/ ","38.5688005256 a/ ","40.1346681055 a/ ","33.1563485623 a/ ","15.7793597557 a/ ","41.2618016707 a/ ","33.8804540101 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	03,"Baja_California_Sur","2022","29.8624060928 a/ ","31.6086748655 a/ ","28.1527547795 a/ ","37.6124608616 c/ ","30.6838351858 a/ ","36.2379399987 a/ ","29.8137576525 a/ ","11.3815005356 a/ ","38.5877717149 a/ ","28.3636839672 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	04,"Campeche","2022","54.6596207581 a/ ","55.9898241874 a/ ","53.3685491512 a/ ","67.3579016866 a/ ","63.4649411396 a/ ","63.5221870048 a/ ","51.173039823 a/ ","19.3712228366 a/ ","81.1981955098 a/ ","43.3037947492 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	05,"Coahuila_de_Zaragoza","2022","24.3658367582 a/ ","25.2877311987 a/ ","23.4703452662 a/ ","ND b/ ","27.8699770455 a/ ","32.2111638164 a/ ","21.5532541312 a/ ","8.1859070465 a/ ","35.9210018706 a/ ","23.1635639594 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	06,"Colima","2022","35.9295573141 a/ ","38.4038351871 a/ ","33.5830231165 a/ ","77.3173927285 a/ ","39.5715062137 a/ ","43.0293645966 a/ ","35.6153918758 a/ ","10.775988287 a/ ","54.9514422903 a/ ","33.6316031262 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	07,"Chiapas","2022","77.8773275787 a/ ","78.5261868173 a/ ","77.2943273636 a/ ","90.5499104499 a/ ","85.0597051901 a/ ","83.8915078578 a/ ","76.6451012571 a/ ","37.4620912629 a/ ","88.1207865406 a/ ","65.8885147489 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	08,"Chihuahua","2022","32.3947083666 a/ ","34.8049197556 a/ ","30.0850983728 a/ ","67.3389724946 a/ ","37.994220248 a/ ","37.3760037635 a/ ","30.5803364499 a/ ","11.7998751684 a/ ","62.6802805615 a/ ","27.2234376369 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_la_seguridad_social,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_Federativa)",	09,"Ciudad_de_México","2022","39.2867157203 a/ ","42.3753679276 a/ ","36.6135880955 a/ ","60.9058171217 a/ ","46.890210331 a/ ","53.2435627126 a/ ","39.5281412976 a/ ","8.6806144114 a/ ","66.7045842339 a/ ","39.1041755834 a/ ",
