"Serie","Periodo","Ámbito|Total","Ámbito|Urbano","Ámbito|Rural",
"Población_en_pobreza","2020","1,672,972","325,495","1,347,477",
"Población_en_pobreza","2018","1,703,649","178,939","1,524,710",
"Población_en_pobreza","2016","2,049,266","262,180","1,787,086",
"Población_en_pobreza","2014","2,169,917","198,188","1,971,729",
"Población_en_pobreza","2012","2,108,682","299,125","1,809,557",
"Población_en_pobreza","2010","2,961,274","359,016","2,602,258",
"Población_en_pobreza","2008","2,321,438","244,719","2,076,719",
"Población_en_pobreza","2006","1,985,680","81,868","1,903,812",
"Población_en_pobreza","2005","3,104,301","165,411","2,938,890",
"Población_en_pobreza","2004","2,815,611","192,378","2,623,233",
"Población_en_pobreza","2002","2,486,295","52,634","2,433,661",
"Población_en_pobreza","2000","4,549,678","182,725","4,366,953",
"Población_en_pobreza","1998","6,716,669","328,498","6,388,171",
"Población_en_pobreza","1996","5,918,326","686,243","5,232,083",
"Población_en_pobreza","1994","2,878,861","87,963","2,790,898",
"Población_en_pobreza","1992","2,609,994","139,790","2,470,204",
